问题,答案
问题:对于薄壁的套类工件，如何保证加工部位的几何形状精度？,答案:在薄壁套类工件的加工中，可以采用只使塑料夹具起定心作用，而同时在工件凸肩上进行轴向夹紧的联合夹紧方法。
问题:定心塑料夹具的使用有何局限性？,答案:定心塑料夹具的制造和维修比较困难，对工件定位基准的精度要求也比较高，薄壁套筒的制造也比较困难，其工作性能又不容易掌握，因此其应用尚不够普及。
问题:目前大多数工厂在加工气缸套时采用何种夹紧方法？,答案:目前大多数工厂在加工气缸套时仍然采用在凸肩上进行轴向夹紧的方法。
问题:什么是定心塑料夹具？,答案:定心塑料夹具用于同时完成套类零件的定位和夹紧。
问题:定心塑料夹具有哪些优点？,答案:定心塑料夹具具有结构简单、制造方便、使用可靠和能够同时夹紧多个工件以提高机床生产率的优点。
问题:多位塑料夹具用于什么目的？,答案:多位塑料夹具用于同时夹紧多个工件，以提高机床生产率。
问题:多位塑料夹具中液性塑料的作用是什么？,答案:多位塑料夹具中利用液性塑料的均压作用，代替机械多位夹具中的饺链压板和浮动压板机构，实现结构简单、制造方便、使用可靠。
问题:利用多位塑料夹具加工小工件的优点是什么？,答案:利用多位塑料夹具加工小工件时，更显出它的优越性，因为小工件在多位塑料夹具中能尽量靠拢，从而使同时夹紧的工件数量大为增加（最多可达数十个），并使夹具的外形尺寸大为缩小。
问题:多位塑料夹具中液性塑料的优点是什么？,答案:利用液性塑料来传递夹紧力，既具有液压传力的优点，而又不需要安装密封装置，因为塑料不像液压油那样容易渗漏。
问题:多位塑料夹具中如何实现均压补偿作用？,答案:在多位塑料夹具中加工的工件，即使其夹压方向上的尺寸彼此之间相差较大，也不致影响工件的夹紧，因为塑料能起均压补偿作用。
问题:如何调节多位塑料夹具中的液性塑料的工作体积？,答案:螺钉 l 用于调节塑料的工作体积。
问题:多位塑料夹具中如何防止滑柱自滑柱孔中脱出？,答案:螺钉 3 用于防止滑柱 2 自滑柱孔中脱出。
问题:在钻孔用的多位塑料夹具中，钻套的作用是什么？,答案:钻套 4、5 和 6 压配在夹具体中，作为钻头的导向。
问题:顶紧板在钻孔用的多位塑料夹具中的作用是什么？,答案:顶紧板 7 用于在松夹后将工件顶出夹具。
问题:什么是塑料夹具？,答案:塑料夹具是一种组成零件不多、结构简单的夹具。
问题:设计定心塑料夹具时必须遵循什么原则？,答案:设计定心塑料夹具时必须遵循夹具的薄壁套筒能够牢固地夹紧工件，同时套筒的薄壁部分不致产生永久变形的原则。
问题:在设计薄壁套筒时需要注意哪些？,答案:设计薄壁套筒时需要注意套筒薄壁部分的厚度、套筒厚壁部分的厚度和长度以及套筒薄壁部分和厚壁部分的过渡处的形状。
问题:当工件基准面与薄壁套筒定位面之间必须保持的最小间隙为A1，工件本身的基准面直径有公差Δ，则套筒薄壁部分要能够使工件定心并夹紧所必须具有的直径变形量应该是多少？,答案:套筒薄壁部分要能够使工件定心并夹紧所必须具有的直径变形量应该是A1 + Δ。
问题:如何保证薄壁套筒不会产生永久变形或损坏？,答案:应该保持套筒薄壁部分的变形量不超过其弹性极限所容许的最大变形量，即A ≤ A容。
问题:薄壁套筒定位面的直径应该为多少？,答案:薄壁套筒定位面的直径应该是D（毫米）。
问题:当定位直径 D>150 毫米，套筒薄壁部分长度 L>0.3D 时，如何确定套筒薄壁部分的厚度 h？,答案:P-液性塑料压力，一般可按 P=300 公斤/厘米2 计算；
问题:当定位直径 D>150 毫米，L<0.3D 时，如何确定套筒薄壁部分的厚度 h？,答案:套筒薄壁部分的厚度 h 一般小于 0.6。
问题:为了使套筒薄壁部分所受的压力均匀，应如何布置夹具体内供液性塑料流动的孔道？,答案:夹具体内供液性塑料流动的孔道应该尽量布置得对称和简单，孔道的长度也应力求短些。
问题:如何尽量缩小夹具体内腔的体积？,答案:应尽量缩小夹具体内腔的体积，因为夹具体内腔的体积过大不仅要多浇注液性塑料，而且还要增加加压螺钉的工作行程。夹具体内的孔道尺寸通常可等于加压滑柱的直径。
问题:设计塑料夹具时，应当考虑到液性塑料在浇注时的哪些？,答案:设计塑料夹具时，应当考虑到液性塑料在浇注时的运动情况以及排除夹具内腔的空气等。一般可利用加压滑柱孔或调节螺钉用的孔作为浇注孔道，而在夹具体上容易形成空气泡的地方另外设置排气孔道。浇注孔与排气孔的位置应该高于夹具的其他部位，利用液态塑料的热态下的流动性以填充各孔腔并将空气排出。
问题:什么是限程装置，它在定心塑料夹具中的作用是什么？,答案:限程装置是设在定心塑料夹具上的一种机构，如图 3-23 中的螺钉 5 及图 3-167 中的螺母 l，用于限制夹紧行程，保持一定的塑料压力，避免液性塑料的压力过高使工件产生变形。
问题:滑柱在塑料夹具中起什么作用，其直径和长度如何选取？,答案:滑柱用于将力源传递给液性塑料，再由塑料将压力传至各处。滑柱的直径通常取为 D=10~20 毫米，滑柱的长度取为 l=(1.5~2)D，滑柱与孔的配合取为 P-。在滑柱上应具有工艺螺纹孔，便于修理和调整夹具时从孔中取出滑柱。
问题:在多位塑料夹具中，滑柱可分为加压滑柱与夹紧滑柱，它们的设计有何不同？,答案:加压滑柱的设计同定心塑料夹具中的滑柱相同，用于将力源传递给液性塑料。夹紧滑柱则应根据具体工作要求和工件的形状来确定，夹紧滑柱在夹紧状态下需处于图 3-170b) 所示的位置，这样能使工件夹得比较牢固，压力的损失也较小。
问题:如何确定夹紧力的三个要素：作用点、方向和大小？,答案:确定夹紧力的三个要素需要保证工件在夹紧后定位稳定，避免产生能使工件离开夹具定位表面的力系和力矩系。夹紧力的作用点应在工件定位支承面之上，或落在由诸支承块所连成的面积范围内。
问题:如何保证夹紧后工件的变形最小？,答案:为了保证夹紧后工件的变形最小，夹紧力应作用在工件刚性最好的部位，即夹紧部位应尽量靠近工件的壁或筋，并要避免设在工件被加工孔的上方。此外还要保证夹紧力和切削力不产生使工件弯曲的力矩。为此，夹紧点应力求对着定位支承面，辅助支承要尽量地布置在接近被加工表面处。
问题:多点夹压是如何实现的，是否需要每一个夹紧部位都有单独的夹紧装置？,答案:为了满足上述两项要求，只有一个夹紧点往往是不够的，因此，在多数情况下需对工件进行多点夹压，力求使工件夹紧得比较稳固。但是，要实现多点夹紧，并不等于每一个夹紧部位都需要有自己单独的夹紧装置，可以借助改变限板的形状和采用联动夹紧机构来实现。
问题:夹紧力方向的选择与哪些因素有密切的联系？,答案:夹紧力方向的选择与工件定位基准的位置，工件重力的方向和切削力的方向有密切的联系。夹紧力的方向应朝向工件在夹具上定位时的主要基准面，因为这对于保证夹压后工件定位的稳定和减小工件的夹紧变形都是有利的。
问题:在切削过程中，哪些因素会影响切削力的大小？,答案:切削力的大小在切削过程中会受到多种因素的影响，例如工件材质不均匀、加工余量不均匀（尤其在粗加工时）、刀具的磨损程度不同以及切削时的冲击等等。
问题:如何确定所需夹紧力的大小？,答案:所需夹紧力的大小主要取决于切削力和重力的大小和方向。重力的大小和方向是不变的，而切削力的大小和方向在切削过程中是不断变化的。此外，夹紧力还取决于一系列其他因素，例如接触表面的光洁度、工艺系统的刚性等等。
问题:在实际应用中，如何使夹紧力和切削力的方向一致？,答案:在实际应用中，应尽量使夹紧力和切削力的方向一致，使切削力由定位支承块来承受，而不是由夹紧机构或摩擦力来承受。当夹紧力不足以完全防止工件移动时，可以允许由定位销来承受部分切削力，或采用辅助支承来承受平行于主要基准面的切削力，这样便可以减少所需的夹紧力。
问题:在切削过程中，为什么会出现夹紧力不足的情况？,答案:在切削过程中，由于工件材质不均匀、加工余量不均匀、刀具的磨损程度不同以及切削时的冲击等因素，切削力的大小和方向会发生变化，可能会超过夹紧力，导致工件移动。
问题:在确定夹紧力时，一般假定工艺系统是什么样的？,答案:在确定夹紧力时，一般假定工艺系统：工件一夹具一刀具—机床都是绝对刚性的；切削过程是稳定的，而且切削参数也始固定不变的。
问题:如何根据切削原理求得切削力？,答案:在这些条件下，切削力可根据切削原理中的计算公式或计算图表求得。
问题:如何求得所需的夹紧力？,答案:所需的夹紧力可以从解工件在夹压后的静力平衡来求得。
问题:为什么在计算结果中要引进安全系数？,答案:为了保证夹紧可靠，需要在计算结果中引进安全系数作为实际所需的夹紧力。
问题:夹紧力作用点和方向的选择应考虑什么因素？,答案:夹紧力作用点和方向的选择，通常应与工件定位基准的选择同时考虑。
问题:夹紧力愈小愈好的原因是什么？,答案:因为如果盲目地加大夹紧力，不仅使夹具过千庞大，还增加了工件在夹紧时的变形，从而影响加工精度。
问题:组合机床的特点是什么？,答案:组合机床通常都是多面多工序同时加工，在一台机床上往往有大量刀具同时工作，粗加工时切削力都很大。
问题:组合机床在加工时的特点是什么？,答案:加工时振动也较大，尤其在多轴粗锐孔，刮端面和铣削的时候。当各种刀具同时工作时，切削力的方向和合力中心的位置也是经常变化的。
问题:切削力方向和合力中心位置变化对设计夹紧机构有何影响？,答案:因此在设计夹紧机构时，不但要注意到切削力的大小，而且还要注意到切削力的方向及其合力中心的位置。
问题:什么因素会导致实际的切削力大大增加？,答案:由于工件材料硬度不均匀，加工余量不均匀和刀具磨钝等因素的影响，往往使实际的切削力大大增加。
问题:什么是组合机床夹具，为什么它在加工精度方面非常重要？,答案:组合机床夹具是保证加工精度的主要部件，特别注意工件夹紧后产生的变形对加工精度的影响。
问题:在什么情况下需要特别注意工件夹紧后的变形对加工精度的影响？,答案:在工件刚性差、精度要求高的情况下，特别需要注意工件夹紧后产生的变形对加工精度的影响。
问题:如何确定所需的夹紧力？,答案:为了保证夹紧可靠，应选择机床工作过程中最不利的工作状态来确定所需的夹紧力。在各面同时加工时，应按相对两个方向上的切削力不能互相抵消的最坏情况来确定所需要的夹紧力。
问题:直接夹紧机构的特性是什么，它适用于哪种切削情况？,答案:直接夹紧机构的特性是夹紧后机构不能自锁，适用于切削力较小和切削过程比较平稳的情况，例如在饺孔、精镂孔和攻丝机床上。如果在切削力较大和切削不平稳的情况下采用直接夹紧机构，那么确定夹压力时需要考虑的安全系数就要取大些，使夹紧力大于切削力，以保证夹紧机构的可靠工作。
问题:自锁夹紧机构在什么情况下比直接夹紧机构更可靠？,答案:在切削力较大和切削过程不平稳的情况下（如粗加工和铣削等），或在夹紧力与切削力相反的情况下，一般均应采用自锁夹紧机构。
问题:在计算夹紧力时，需要先计算什么？,答案:在计算夹紧力时，必须先计算切削力。
问题:对于不同的工艺方法，主切削力是否相同？,答案:对于不同的工艺方法，主切削力也不同。
问题:钻孔和扩孔时，需要考虑哪个方向的切削力？,答案:钻孔和扩孔时，只考虑轴向走刀抗力 P。
问题:刮削端面时，需要考虑哪些切削力？,答案:刮削端面时，需要考虑垂直切削力和轴向切削力。
问题:铣削时，主切削力为哪个方向的切削力？,答案:铣削时，主切削力为圆周切削力。
问题:在组合机床中，如何求出切削合力的大小及共作用位置？,"答案:设各加工部位的切削力分别为 Pf、P2、……Pn；各力作用的座标位置为 (xi, Y1)、(x2, Y2)、……(xn, yn)，那么切削合力的大小为：F = sqrt(P1x1 + P2x2 + ... + Pnxn)^2 + (P1y1 + P2y2 + ... + Pnyn)^2]。"
问题:螺旋夹紧机构的计算公式中，cp代表什么？,答案:cp代表螺旋夹紧机构的效率。
问题:什么是 K 值，如何计算？,答案:K 值表示不同直径螺纹采用公制螺纹夹紧时的摩擦系数。可以通过 K=r tg (a+cp ）进行计算。
问题:表 3-25 列出了什么内容？,答案:表 3-25 列出了采用公制螺纹夹紧时，不同直径螺纹的 K 值。
问题:螺旋机构的夹紧力如何计算？,答案:螺旋机构的夹紧力可按上式进行计算：F=K*P。其中，K 表示摩擦系数，P 表示螺纹副的预紧力。
问题:若考虑到螺钉头部或螺母端面的摩擦力矩损失时，螺旋机构的夹紧力如何计算？,答案:若考虑到螺钉头部或螺母端面的摩擦力矩损失时，螺旋机构的夹紧力为：F=K*P/(1+μ*L)。其中，μ 表示承托表面的摩擦系数，L 表示承托表面摩擦力矩的计算力臂。
问题:手动螺旋夹紧机构中，螺母承托表面一般有何特点？,答案:手动螺旋夹紧机构中，螺母承托表面一般无滚动轴承。
问题:当采用标准螺母夹紧时，夹紧力的公式是什么？,"答案:当采用标准螺母夹紧时（承托表面无滚动轴承，并取 μ,=0.2) ，共夹紧力为：。"
问题:在组合机床夹具上，加在扳手上的力推荐为多少？,答案:在组合机床夹具上，加在扳手上的力推荐为 P=8~10 公斤，最大应不超过 15 公斤。
问题:扳手的力臂长度一般取为多少？,答案:扳手的力臂长度一般取为 /~14d (d-螺纹外径）。
问题:螺旋夹紧的许用夹紧力如何计算？,答案:夹紧螺钉和螺母有时需要进行强度计算，而螺钉端面还要验算其挤压力，其计算方法可参考有关机械零件之类书籍。
问题:采用螺母夹紧方式时，螺栓一般均同时承受拉力和扭力，但为了简化计算，在计算螺钉的强度时，可用什么来代替复杂的受力情况？,答案:在计算螺钉的强度时，可用只承受拉力的简单情况来代替复杂的受力情况。
问题:表 3-27 中列出了什么？,答案:表 3-27 中列出了各种直径螺栓的许用夹紧力和达此夹紧力时所需的夹紧扭矩。
问题:在手动夹紧时，应该根据什么来选择较小直径的螺纹？,答案:在手动夹紧时，应该根据所需要的夹紧力和实际上可能施加的夹紧扭矩来选择较小直径的螺纹。
问题:对于采用承托表面无滚动轴承的螺母夹紧，达到1600公斤夹紧力时，M20螺纹所需的夹紧扭矩和M30螺纹所需的夹紧扭矩分别是多少公斤·米？,答案:无滚子模铁机构的传力系数是多少？
问题:什么是模铁机构的传力系数，如何计算？,答案:模铁机构的传力系数 i 是机构传力能力的度量，当不考虑机构的摩擦损失时，可表示为 i。若存在摩擦损失，则实际传力系数 i＜i0，模铁机构的传动效率则为 η=i/i0。
问题:模铁机构的传力系数 i 和传动效率 η 与哪些因素有关？,答案:模铁机构的传力系数 i 和传动效率 η 受揆铁的积角 ε 影响：ε 越小，i 越大，但摩擦损失也越大，因而传动效率 η 越低。
问题:表 3-29 列出了哪些内容？,答案:表 3-29 列出了各种揆角揆铁机构的传力系数和传动效率。
问题:气动单滚子揆铁夹紧机构的夹紧力如何计算？,答案:气动单滚子揆铁夹紧机构的夹紧力 P 可以通过以下公式计算：P = Fi × (1 η)。其中，Fi 为考虑压缩空气在管路中的摩擦损失的气缸力，通常取 Fi = 0.5 kgf/cm2。
问题:气动无滚子揆铁夹紧机构的夹紧力如何计算？,答案:气动无滚子揆铁夹紧机构的夹紧力 P 可以通过以下公式计算：P = Fi × (1 η) × K3 × K2 × K1。其中，Fi 为考虑压缩空气在管路中的摩擦损失的气缸力，通常取 Fi = 0.5 kgf/cm2；K3、K2、K1 分别为回转半径修正系数、摩擦角修正系数和偏心轮回转轴上的摩擦角修正系数。
问题:偏心轮回转半径 P 和升角 α 如何计算？,答案:偏心轮回转半径 P 和升角 α 会随着偏心轮夹紧点位置的变化而变化，如果在计算夹紧力时未确定偏心轮夹紧点的位置，升角 α 和回转半径 P 可取平均值。
问题:对特性为一的圆偏心轮，其和分别为多少？,答案:和分别为。
问题:在圆偏心轮上，希望夹紧点的位置确定在哪里？,答案:希望夹紧点的位置确定在升角变化比较小的区间内，即取如图所示的点左右两旁对称的一段曲线为夹紧工作面。
问题:手动圆偏心轮的夹紧力如何计算？,答案:手动圆偏心轮的夹紧力可按以点为夹紧点的悄形衣计算，可得。
问题:绞链杠杆夹紧机构在气动夹具中常用于什么？,答案:绞链杠杆夹紧机构在气动夹具中常用的一种增力机构，采用它可以获得较大的增力系数而共摩擦损失却不大。
问题:表3-31中列出了什么内容？,答案:表3-31中列出了常用纹链杠程的计算公式。
问题:在确定夹紧力时，需要考虑什么因素？,答案:在确定夹紧力时，需要考虑各接触表面间的净摩擦系数。
问题:摩擦系数主要取决于什么？,答案:摩擦系数主要取决于工件和支承块或压板之间的接触表面的形式。
问题:图 3-172 所示定位支承表面有哪些常见形式？,答案:图 3-172 所示定位支承表面的常见形式包括光滑表面、具有直沟槽并与切削力方向一致的支承表面、具有直沟槽但沟槽方向与切削力方向相垂直的支承表面和具有交错沟槽的支承表面。
问题:当工件基面为已加工表面时，摩擦系数如何选取？,答案:当工件基面为已加工表面，摩擦系数可按表 3-34 选取。
问题:在加工过程中，为什么必须将计算所得的切削力乘以安全系数作为实际所需的夹紧力？,答案:在加工过程中，由于受加工工艺的不同、工件材质和加工余量的不均匀性以及刀具的钝化等因素的影响，欲准确地确定所需的夹紧力实际上是很困难的，因此，为保证夹紧的可靠性，必须将计算所得的切削力乘以安全系数作为实际所需的夹紧力。
问题:总的安全系数由哪些因素决定？,答案:总的安全系数由考虑各种因素所需的安全系数来决定，包括基本安全系数K1、加工状态系数K2、一刀具钝化系数K3以及其他必要的安全系数。
问题:基本安全系数K1考虑了哪些因素？,答案:基本安全系数K1考虑了工件材质和加工余量的不均匀性。
问题:加工状态系数K2考虑了哪些因素？,答案:加工状态系数K2考虑了加工特点。
问题:一刀具钝化系数K3考虑了哪些因素？,答案:一刀具钝化系数K3考虑了刀具钝化。
问题:总安全系数K的选择范围是多少？,答案:总安全系数K的选择范围比较大，通常情况下取K=1.5~2.5，在夹紧力和切削力方向相反的情况下，为了保证工件的可靠夹紧，K值应不小于2.5。
问题:在组合机床上加工时，如何确定加工时所需要的夹紧力？,答案:必须根据机床的类型和夹具的具体工作情况来确定加工时所需要的夹紧力。
问题:夹紧力与切削力的方向一致时，工件承受的主切削力与夹紧力的方向是什么？,答案:夹紧力与切削力的方向一致时，工件承受的主切削力（轴向走刀抗力）与夹紧力的方向一致，并且都朝着夹具的定位支承块。
问题:在这种情况下，主切削力起着什么作用？,答案:主切削力起着帮助紧固工件的作用。
问题:其他切削分力是否需要进行计算？,答案:其他切削分力通常都比较小，通常都可不必进行计算。
问题:在这种情况下，所需的夹紧力是用于什么？,答案:在这种情况下，所需要的夹紧力只用于防止工件在加工时产生振动和转动。
问题:当夹紧力与切削力的方向相反时，切削力起着什么作用？,答案:在这种情况下，切削力起着使工件离开夹具定位支承块和使夹紧机构松夹的作用。
问题:当采用直接夹紧机构时，通常可取的安全系数是多少？,答案:当采用直接夹紧机构时，通常可取的安全系数为2.5~3。
问题:当采用自锁夹紧机构时，所需的夹紧力可取的安全系数范围是多少？,答案:当采用自锁夹紧机构时，其所需的夹紧力可取的安全系数范围为0.5~1。
问题:如何提高自锁夹紧机构的刚性？,答案:提高自锁夹紧机构的刚性可以采用较小的夹紧力来夹压工件，并在有限的部位内设置夹紧机构。
问题:自锁夹紧机构在一般情况下是否存在变形？,答案:在一般情况下，自锁夹紧机构实际上总是存在变形的。
问题:如何确定所需的夹紧力？,答案:在实际工作中，仍可按 Q=KP 来确定所需的夹紧力。
问题:切削力与夹紧力的方向一般是什么关系？,答案:切削力与夹紧力的方向一般互相垂直。
问题:卧式组合机床的夹紧力与切削力的关系是什么？,答案:卧式组合机床的夹紧力与切削力互相垂直，工件在切削力的作用下有产生平移、转动和颠覆的趋势。
问题:如何计算卧式组合机床所需的夹紧力？,答案:卧式组合机床所需的夹紧力应按工件在切削力作用下可能产生的平移、转动和颠覆三种不同情况分别计算，然后取较大的夹紧力。
问题:定位销在切削力作用下可以承受吗？,答案:定位销在切削力作用下可能承受一部分切削力。
问题:粗加工机床夹具如何考虑定位销的作用？,答案:粗加工机床夹具中，定位销允许承受一部分切削力，可以防止工件产生平移。
问题:如何计算粗加工机床夹具所需的夹紧力？,答案:粗加工机床夹具所需的夹紧力可按下式来确定：f2 —－一工件和定位支承块间的摩擦系数。
问题:：如何确定定位销允许承受的切削力？,答案:：定位销允许承受的切削力通常按挤压强度确定，公式为 P0=dh(a)llf;a]，其中 a 为许用挤压应力，取定位销和工件中较小者。
问题:：如何验证定位销受力后弯曲变形的大小是否在保证加工精度所允许的范围之内？,答案:：在特殊情况下，应按照悬臂情况来计算定位销受力后弯曲变形的大小，并验证其变形量是否在保证加工精度所允许的范围之内。
问题:：如何防止工件在切削力的作用下产生绕圆定位销中心转动的趋势？,答案:：夹紧力要足以防止工件产生这样的转动，从工件的力矩平衡条件可以得到所需的夹紧力，公式为 P~=bh(a] 挤，其中 a 为许用挤压应力，取工件和定位销中较小者。
问题:：如何防止工件在切削加工过程中产生颠覆？,答案:：当工件的形状比较窄而高时，要注意工件在切削加工过程中有离开基面的趋势。在一般情况下，夹具定位销插入工件孔中的长度并不大，因此它对防止工件颠覆几乎不起作用，在计算夹紧力时可忽略定位销的作用。从防止工件颠覆的角度来看，当夹紧机构的刚性等条件相同时，夹压工件的上部 (H 大）比夹压工件的下部 (H 小）要稳定可靠些。
问题:为什么在计算夹紧力时要综合全面地考虑？,答案:在切削过程中，作用于工件的平移作用力、转动力矩和颠覆力矩等都是同时起作用和互相影响的，因此在计算夹紧力时应综合地全面地加以考虑。
问题:当颠覆力矩比较大时，会怎样影响夹紧力？,答案:当颠覆力矩比较大时，有使工件产生倾斜而离开夹具定位支承块的趋势，并产生对千夹紧机构的反作用力 P' ，从而实际上减小了将工件夹压到定位支承块上的作用力，这时用千防止工件产生平移的实际摩擦力便相应地减小了，在确定夹紧力时就需要考虑这一因素的影响。
问题:根据工件的静力平衡条件，如何确定夹紧力？,答案:根据工件的静力平衡条件，有：式中 P' ——由千颠覆力矩 (PL) 而产生的对千夹紧机构的反作用力。
问题:当夹紧力不足以防止工件产生平移、转动和颠覆时，如何处理？,答案:如果继续加大夹紧力在结构上受到限制，或者工件和夹具的刚性较差，加大夹紧力会产生工件和夹具的过大变形而影响加工精度时，便需要根据切削合力的作用中心的位置，在共相对部位设置辅助支承以保证工件定位和夹压的可靠性。
问题:什么是辅助支承，它们需要满足什么条件？,答案:辅助支承本身必须具有足够的刚性。
问题:辅助支承的结构形式在哪里可以找到示例？,答案:辅助支承的结构形式在本章的第二节中已有介绍，可以参见图 3-7、图 3-8、图 3-9、图 3-10 及图 3-11。
问题:在多面组合机床上加工工件时，如何计算所需的夹紧力？,答案:在多面组合机床上加工时，工件多面同时受力，应按可能出现的最坏情况来计算所需的夹紧力。例如，当工件在复合式三面组合机床上进行加工时，各面上的切削力分别为 P1>P2>P3。在开始加工时，各动力头不能同时切削工件，应按照只有切削力 P1 单独作用时为最坏情况来确定所需的夹紧力。
问题:当切削力 P1 单独作用时，如何计算所需的夹紧力？,答案:当切削力 P1 单独作用时，所需的夹紧力可以通过以下公式计算：式中 P 值以 P1 和 P2 中较大的值代入。
问题:在这种情况下，如何确定防止工件平移所需的夹紧力？,答案:应按照两面同时加工即切削力P1和P2同时作用在工件上的最坏情况来确定防止工件平移所需的夹紧力。
问题:当不允许定位销承受切削力时，工件的静力平衡条件是什么？,答案:当不允许定位销承受切削力时，工件的静力平衡条件为：将防止工件抬起或平移所需的夹紧力加以比较，按较大值确定所需的夹紧力。
问题:在复合式三面机床上加工时，如何确定所需的夹紧力？,答案:在这种情况下应按照切削力P1、P2和P3均同时作用在工件上的最坏情况来确定所需的夹紧力。
问题:具有单刀头钝孔时，如何确定所需的夹紧力？,答案:此时应根据镂削时圆周切削力P方向的变化，按照可能出现的最坏情况来确定所需的夹紧力。
问题:在单面镂床上加工时，如何确定防止工件颠覆所需的夹紧力？,答案:考虑到由千圆周切削力几垂直向上作用千工件时，有使工件产生绕0点回转并同时抬起工件的趋势，此时为防止工件颠覆所需的夹紧力当九在水平方向上作用千工件时，有使工件产生平移的趋势。将防止工件抬起或平移所需的夹紧力加以比较，按较大值确定所需的夹紧力。
问题:在这种情况下，为什么需要根据钝孔时圆周切削力的变化来确定所需的夹紧力？,答案:切削合力 P 会导致工件产生什么样的趋势？当不允许定位销承受切削力时，工件的静力平衡条件是什么？
问题:根据工件扭力矩平衡方程式，当圆周切削力与垂直向上的力一致时，工件处于何种情况？,答案:在这种情况下，V形体定位表面对于工件的摩擦力如何？
问题:当工件没有防转与止动的适当基面时，应如何处理？,答案:如果工件没有防转与止动的适当基面，在必要的时候应当增加这种工艺基面。
问题:在加工过程中，前后所需要的夹紧力是否可能不同？,答案:与精加工或先后完成钝孔与惚端面等，其前后所需要的夹紧力也是不同的。
问题:如果工件的刚性足够，应如何设计夹紧机构？,答案:如果工件的刚性足够，则可以按所需的最大夹紧力来设计夹紧机构。
问题:如果工件的刚性不好，应如何保证夹紧力具有调节的可能性？,答案:如果工件的刚性不好，则应考虑采取其它措施以保证夹紧力具有调节的可能性，例如采用能自动调节气压的气动夹紧或采用松力机构。
问题:在加工气缸体的复合式三面组合镑床上，当卧式动力头镂削 I 孔与立式动力头镂削 II 孔并刮止口同时进行时，需要多大的夹紧力才能防止工件产生晃动？,答案:当卧式动力头镂削 I 孔与立式动力头镂削 II 孔并刮止口同时进行时，需要较大的夹紧力（气动夹具的工作气压需达 4 公斤／厘米 2) 才能防止工件产生晃动。
问题:在加工气缸体的复合式三面组合镑床上，如何保证加工精度？,答案:在加工 Il 孔及刮止口时，为了防止工件晃动，气动夹具保持 4 公斤／厘米 2 的工作气压，而在加工 1 孔时，为了保证加工精度，气动夹具采用了不超过 1.5 公斤／厘米 2 的工作气压。
问题:活动钻模板与主轴箱的连接方式有哪两种？,答案:大多数活动钻模板与主轴箱是浮动连接的，即在机床工作时，钻模板与主轴箱之间的距离是可变的；还有一种活动钻模板则与主轴箱是刚性连接的，即钻模板与主轴箱之间的距离是固定的，这种钻模板称为“刚性钻模板”。
问题:刚性钻模板在什么情况下采用？,答案:只有在个别情况下，当结构受到限制和加工孔的位置精度要求不高的时候，才采用刚性钻模板。
问题:活动钻模板的结构形式受哪些因素影响？,答案:活动钻模板的结构形式受加工对象、加工部位、机床布局、工具类型和使用条件等因素的影响，设计时必须注意使钻模板的结构适应机床的具体工作要求。
问题:图3-184所示活动钻模板用于加工什么工件？,答案:图3-184所示活动钻模板用于加工带盖连杆的螺栓孔，每个工位上安装两个不同规格的工件。
问题:活动钻模板如何与夹具定位？,答案:活动钻模板借助两个定位套（分布在八个e部位）和由支承块（分布在a、b、c、d、e、f部位）组成的平面M与夹具定位，回转工作台夹具上的相应部位设有定位销和支承块（各六个），工作时只有两个定位销起定位作用，其余四个定位销均进入钻模板上不装定位套的相应孔中。
问题:什么是钻模板，它如何与工具定位？,答案:钻模板是用于定位工具的部件，为了避免与夹具上的星形手把相碰，在钻模板上留有十个孔N。
问题:钻模板如何悬挂在主轴箱上？,答案:钻模板用四根导杆穿过主轴箱而悬挂在主轴箱上，工作时导杆由主轴箱后盖的上方伸出。
问题:如何快速卸下钻模板？,答案:拔出导杆端部的弹簧插销4，可以很快地从主轴箱上卸下钻模板并将它放置在回转工作台工具上。
问题:在立式多工位机床上，活动钻模板如何完成攻丝工序？,答案:在立式多工位机床上，活动钻模板带有攻丝模板，并借助攻丝靠模机构进行攻丝。
问题:活动钻模板如何用在立式单工位机床上？,答案:图3-185所示的活动钻模板用于扩、绞气缸体气门挺杆孔，孔的位置精度要求为士0.3毫米。
问题:如何增强钻模板的结构刚性和增加定位的稳定性？,答案:为了防止在切削加工时钻模板产生振动和倾斜而影响加工精度，可以将四个悬伸支架9与钻模板铸成一体，并尽量加宽加厚钻模板，以增强钻模板的刚性。]
问题:什么是活动钻模板，它的作用是什么？,答案:活动钻模板是一种用于加工内孔的工具，它的作用是通过定位销和导向支架与工件进行定位，并通过钻模板上的钻孔进行加工。
问题:为什么要在钻模板上装有两个直径为 40 毫米的长定位销和两个短定位销？,答案:在钻模板上装有两个直径为 40 毫米的长定位销和两个短定位销是为了提高定位精度和工作稳定性，长定位销起主要定位作用，短定位销作为辅助定位用。
问题:为什么要在导向支架上装有三块猝硬钢？,答案:在导向支架上装有三块猝硬钢是为了提高其定位精度和工作稳定性，在 a、b、C 部位上组成一个定位外圆，当导向支架伸入工件内腔时，此定位外圆直接和工件的内孔定位。
问题:图3-188所示的卧式活动钻模板用于哪种加工？,答案:图3-188所示的卧式活动钻模板用于在远离工件端壁的凸耳上钻孔。
问题:卧式活动钻模板如何与夹具定位？,答案:卧式活动钻模板通过两个定位销8和四个支承块6与机床夹具定位。
