例子,故障现象,分析过程,,,,,,,
"例232.小范围移动正常、大范围移动出现剧烈振动的故障维修
","故障现象：某采用FANUCOT数控系统的数控车床，开机后，只要Z轴一移动，就出现剧烈振荡，CNC无报警，机床无法正常工作。
","分析及处理过程：经仔细观察、检查，发现该机床的Z轴在小范围（约2.5mm以内）移动时，工作正常，运动平稳无振动；但一旦超过以上荒围，机床即发生激烈振动。
根据这一现象分析，系统的位置控制部分以及伺服驱动器本身应无故障。初步判定故障在位置检测器件，即脉冲编码器上。
考虑到机床为半闭环结构，维修时通过更换电动机进行了确认，判定故障原因是由于脉冲编码器的不良引起的。
为了深入了解引起故障的根本原因，维修时作了以下分析与试验：
1）在伺服驱动器主回路断电的情况下，手动转动电动机轴，检查系统显示，发现无论电动机正转、反转，系统显示器上部能够正确显示实际位置值，表明位置编码器的A、B、“A、*B信号输出正确。
2）由于本机床Z轴丝杠螺距为5mm，只要Z轴移动2mm左右即发生振动，因此，故障原因可能与电动机转子的实际位置有关，即脉冲编码器的转子位置检测信号C1、C2、C4、C8信号存在不良。
根据以上分析，考虑到Z轴可以正常移动2.5mm左右，相当于电动机实际转动
180°，因此，进一步判定故障的部位是转子位置检测信号中的C8存在不良。
按照上倒同样的方法，取下脉冲编码器后，根据编码器的连接要求（见表6–1），在引脚N/T、J/K上加入DC5V后，旋转编码器轴，利用万用表测量C1、C2、C4、C8，发现C8的状态无变化，确认了编码器的转子位置检测信号C8存在故障。

表6–1编码器引脚连接表

引脚ABCDEFGHJ/KLMN/TPRS
信号ABCI*A*BZ*Z屏蔽+5VC4C8OVC2OH1OH2
进一步检查发现，编码器内部的C8输出驱动集成电路己经损坏；更换集成电路后，重新安装编码器，并按上倒同样的方法调整转子角度后，机床恢复正常。",,,,,,,
"例233.0开机后发生周期性振动的报警维修
","故障现象：一台配套FANUC11M的加工中心，开机时，CRT显示SV008号报警，Z轴发生周期性振动。
","分析及处理过程：FANUC11M系统出现SV008报警的含义是“坐标轴停止时的误差过大”，引起本报警的可能原因有：
1）系统位置控制参数设定错误。
2）伺服系统机械故障。
3）电源电压异常。
4）电动机和测速发电机、编码器等部件连接不良。
根据上达可能的原因，再结合Z轴作周期性振动的现象综合分析，并通过脱开电动机与丝杠的连接试验，初步判定故障原因在伺服驱动系统的电气部分。
为了进一步判别故障原因，维修时更换了X、Z轴的伺服电动机，进行试验，结果发现故障不变，由此判定故障原因不在伺服电动机。
由于X、Y、Z伺服驱动器的控制板规格一致，在更改设定、短接端后，更换控制板试验，证明故障原因在驱动器的控制板上。
更换驱动器控制板后，故障排除，机床恢复正常。例234.运动过程中出现振动的故障维修
","故障现象：一台配套FANUCME系统的加工中心，在长期使用后，X轴作正向运动时发生振动。
","分析及处理过程：伺服进给系统产生振动、爬行的原因主要有以下几种：
l）机械部分安装、调整不良。
2）伺服电动机或速度、位置检测部件不良。
3）驱动器的设定和调整不当。
4）外部干扰、接地、屏蔽不良，等等。
为了分清故障部位，考虑到机床伺服系统为半闭环结构，脱开电动机与丝杠的连接后再次开机试验，发现故障仍然存在，因此初步判定故障原因在伺服驱动系统的电气部分。
为了进一步判别故障原因，维修时更换了X、Y轴的伺服电动机，进行试验，结果发

现故障转移到了Y轴，由此判定故障原因是由于X轴电动机不良引起的。
利用示波器测量伺服电动机内装式编码器的信号，最终发现故障是由于编码器不良而引起的；更换编码器后，机床恢复正常工作。",,,,,
"例235.开机后电动机产生尖叫的故障维修
","故障现象：一台配套FANUC15MA数控系统的龙门加工中心，在起动完成、进入可操作状态后，X轴只要一运动即出现高频振荡，电动机产生尖叫，系统无任何报警。
","分析及处理过程：在故障出现后，观察X轴拖板，发现实际拖板振动位移很小；但触摸电动机输出轴，可感觉到转子在以很小的幅度、极高的频率振动；且振动的噪声就来自X轴伺服电动机。
考虑到振动无论是在运动中还是静止时均发生，与运动速度无关，故基本上可以排除测速发电机、位置反馈编码器等硬件损坏的可能性。
分析可能的原因是CNC中与伺服驱动有关的参数设定、调整不当引起的；且由于机床振动频率很高，因此时间常数较小的电流环引起振动的可能性较大。
由于FANUC15MA数控系统采用的是数字伺服，伺服参数的调整可以直接通过系统进行，维修时调出伺服调整参数页面，并与机床随机资料中提供的参数表对照，发现参数PIOM1852、PRM1825与提供值不符，设定值见下：
参数号正常值实际设定值
185210003414
182520002770
将上达参数重新修改后，振动现象消失，机床恢复正常运行。例236.驱动器无准备好信号的故障维修
","故障现象：一台配套FANUCOM系统的加工中心，机床起动后，在自动方式运行下，
CRT显示401号报警。
","分析及处理过程：FANUCOM出现401号报警的含义是“轴伺服驱动器的VRDY信号断开，即驱动器未准备好”。
根据故障的含义以及机床上伺服进给系统的实际配置情况，维修时按下列顺序进行了检查与确认：
l）检查L/MN轴的伺服驱动器，发现驱动器的状态指示灯PRDY、VRDY均不亮。
2）检查伺服驱动器电源AC100V、AC18V均正常。
3）测量驱动器控制板上的辅助控制电压，发现±24V，±15V异常。根据以上检查，可以初步确定故障与驱动器的控制电源有关。
仔细检查输入电源，发现X轴伺服驱动器上的输人电源熔断器电阻大于2M*，远远超出规定值。经更换熔断器后，再次测量直流辅助电压，±24V，±15V恢复正常，状态

指示灯PRDY、VRDY均恢复正常，重新运行机床，401号报警消失。例237.伺服驱动器出现TG报警的故障维修
","故障现象：某配套FANUCPMO系统的数控车床，在加工过程中，不定期地经常出现
ALM401号报警。
","分析及处理过程：FANUCPMO系统ALM401报警的含义是“伺服驱动器的‘准备好’
（DRDY）信号断开”，通过对驱动器的检查，可以得知其原因是伺服驱动器的TG报警。由于本故障为不定期发生，可以认为电缆的连接不可靠是引起故障的原因之一。
重新连接驱动器的连接电缆及屏蔽线、接地线，故障不再出现。例238.伺服驱动器出现HC报警的维修
","故障现象：一台配套FANUC15MA数控系统的龙门加工中心，开机时Y轴伺服一接通，系统就出现过电流报警（报警SV003）。
","分析及处理过程：FANC15MA系统SV003报警的内容为“YAXISEXCESSCUR-RENNTINSERVO”。检查X、Y、Z伺服驱动器的状态指示，发现Y轴伺服驱动器的过电流报警灯HC（红色）亮，指示Y伺服驱动器的直流母线存在过电流。
从本章前述可知，FANUC交流伺服直流母线是通过三相整流桥DS将R、S、T三相交流电整流成直流后，经电容C滤波作为逆变回路的逆变电源。因此，故障可能的原因有：
1）控制板的直流母线电流检测环节（如：采样电阻RI）、反馈环节不良。
2）逆回路的大功率晶体管损坏。
通过使用在线测试仪，同时进行Y轴驱动器控制板和Z轴驱动器控制板的信号比较，发现Y轴驱动器控制板上有两个厚膜集成电路（型号DV47HA6640）损坏，使同一相中的两个大功率晶体管同时导通，造成了直流母线的短路。更换两个损坏的厚膜集成电路DV47HA6640后，故障排除。",
"例239.a伺服驱动器出现报警“8”的故障维修
","故障现象：采用FANUC–OM数控系统的立式加工中心，在加工过程中，出现
ALM414报警，a伺服驱动器显示报警“8”。
","分析及处理过程：该机床采用的是FANUCa系列数字伺服驱动系统，对照本书5.2.2节内容可知，系统ALM414报警的含义为“X轴的数字伺服系统错误”。a驱动器显示“8”，表示L轴（在机床上沟X轴）过电流。
根据报警显示内容，通过机床自诊断功能，检查诊断参数DGN720，发现其第4位为“1”，即X轴出现过电流（HCAL）报警。
根据第5章所述，FANUC数字伺服X轴产生HCAL报警的原因主要有：
l）X轴伺服电动机的电枢线产生错误。

2）伺服驱动器内部的晶体管模块损坏。
3）X轴伺服电动机绕组内部短路。
4）伺服驱动器的主板PCB损坏。
根据故障情况，由于发生故障前机床可以正常工作，故基本可以排除X轴伺服电动机联接错误的可能性。
测量X轴伺服电动机的电枢绕组，发现三相绕组电阻相同，阻值在正常的范围，故可以排除电动机绕组内部短路的原因。
检查伺服驱动器内部的晶体管模块，用万用表测得电源输入端的相间电阻只有
6*，远低于正常值。因此，可以初步判定驱动器内部晶体管模块损坏。
经仔细检查确认晶体管模块已经损坏；更换一晶体管模块后。故障排除。",,,,,,,
例240.,"故障现象：某配套FANUCOi系统、ai系列伺服驱动的立式数控铣床，在自动加工过程中突然出现ALM414、ALM4ll报警。
","分析及处理过程：FANUCOi系统发生ALM411报警的含义是“移动过程中位置遍差过大”；ALM414的含义是“数字伺服报警（Z–AxisDETECTIONSYSTEMEIUIOR）”。
检查Z驱动器显示“8”，表明Z轴IPM报警，可能的原因是Z轴过电流、过热或IPM控制电压过低。利用系统诊断参数DGN200检查发现DGN00bit“51”，表明Z轴驱动器出现过电流报警。
根据以上读断、检查，可以初步确认故障原因为Z轴过电流。考虑到机床的伺服进给系统为半闭环结构，维修时脱开了电动机与丝杠间的联轴器，手动转动丝杠，发现该轴运动十分困难，由此确认故障原因在机械部分。
进一步检查机床机械部分，发现Z导轨表面无润滑油，检查机床润滑系统的定量分油器，确认定量分油器不良。更换定量分油器后，通过手动润滑较长时间，保证Z导轨润滑良好后，再次开机试验，报警消失，机床恢复正常工作。",,,,,,,
"例241.驱动器同时出现OV、TG报警的故障维修
","故障现象：一台配套FANUCOTE–A2系统的数控车床，X轴运动时出现ALM401报
警。
","分析及处理过程：检查报警时x轴伺服驱动板PRDRDY指示灯不亮，OV、TG两报警
指示灯同时亮，CRT上显示ALM401号报警。断电后NC重新起动，按X轴正/负向运动键，工作台运动，但约2~3s，又出现ALM401号报警，驱动器报警不变。
由于每次开机时，CRT无报警，且工作台能运动，一般来说，NC与伺服系统应工作正常，故障原因多是由于伺服系统的过载。
为了确定故障部位，考虑到本机床为半闭环结构，维修时首先脱开了电动机与丝杠间的同步齿型带，检查X轴机械传动系统，用手转同步带轮及X轴丝杠，刀架上丁运动

平稳正常，确认机械传动系统正常。
检查伺服电动机绝缘、电动机电缆、插头均正常。但用电流表测量X轴伺服电动机电流，发现X轴静止时，电流值在6~11A范围内变动。因X轴伺服电动机为A06B–0512–B205型电动机，额定电流为6.8A，在正常情况下，其空载电流不可能大于6A，判断可能的原因是电动机制动器未松开。
进一步检查制动器电源，发现制动器DC90V输入为“0”，仔细检查后发现熔断器座螺母松动，连线脱落，造成制动器不能松开。重新连接后，确认制动器电源己加入；开机，故障排除。",,,,,,,
"例242.驱动器同时出现TG、DC报警的故障维修
","故障现象：某配套FANUCOM的二手数控铣床，采用FANUCS系列三轴一体型伺服驱动器，开机时，驱动器同时出现L/M/N轴的TG、DC报警。
","分析及处理过程：FANUCS系列数字伺服出现TG报警的含义是“速度控制单元断线，即伺服电动机或编码器连接不良或速度控制单元设定错误”。DC报警的含义是“直流母线过电压”，可能的原因有直流母线的斩波管、制动电阻等元器件不良，或系统电源不正确等。
由于机床为二手设备，仔细检查驱动器与X、Y、Z轴伺服电动机的连接，未发现断线；检查驱动器的主回路输入电压正确，直流母线的电压为DC260V，且机床X、Y、Z轴尚未工作。根据以上检查，基本确定报警与实际驱动器的外部工作条件无关，报警是由于驱动器本身的原因引起的。
考虑到机床为二手设备，开机前已经长时间未使用，利用观察法，仔细检查驱动器的各元器件，发现驱动器中的熔断器FU2（2A）已经熔断：更换同规格的熔断器后，再次开机，驱动器报警消除，故障被排除。",,,,,,,
"例243.可以少且运动且电动机发热的故障维修
","故障现象：一台配套FANUCOM的二手数控铣床，采用FANUCS系列三轴一体型伺服驱动器，开机后，X、Y轴工作正常，但手动移动Z轴，发现在较小的范围内，Z轴可以运动，但继续移动Z轴，系统出现伺服报警。
",分析及处理过程：根据,"故障现象，检查机床实际工作情况，发现开机后Z轴可以少量运动，不久温度迅速上升，表面发烫。
分析引起以上敌障的原因，可能是机床电气控制系统故障或机械传动系统的不良。为了确定故障部位，考虑到本机床采用的是半闭环结构，维修时首先松开了伺服电动机与丝杠的连接，并再次开机试验，发现","故障现象不变，故确认报警是由于电气控制系统的不良引起的。
由于机床Z轴伺服电动机带有制动器，开机后测量制动器的输入电压正常，在系

统、驱动器关机的情况下，对制动器单独加入电源进行试验，手动转动Z轴，发现制动器已松开，手动转电动机轴平稳、轻松，证明制动器工作良好。
为了进一步缩小故障部位，确认Z轴伺服电动机的工作情况，维修时利用同规格的X轴电动机在机床侧进行了互换试验，发现换上的电动机同样出现发热现象，且工作时的","故障现象不变，从而排除了伺服电动机本身的原因。
为了确认驱动器的工作情况，维修时在驱动器侧，对X、Z轴的驱动器进行了互换试验，即：将X轴驱动器与Z伺服电动机连接，Z轴驱动器与X轴电动机连接。经试验发现故障转移到了X轴，Z轴工作恢复正常。
根据以上试验，可以确认以下几点：
1）机床机械传动系统正常，制动器工作良好。
2）数控系统工作正常；因为当Z轴驱动器带X轴电动机时，机床无报警。
3）Z轴伺服电动机工作正常；因为将它在机床侧与X轴电动机互换后，工作正常。
4）Z轴驱动器工作正常；因为通过X驱动器（无故障）在电柜侧互换，控制Z轴电动机后，同样发生故障。
综合以上判断，可以确认故障是由于Z轴伺服电动机的电缆连接引起的。
仔细检查伺服电动机的电缆连接，发现该机床在出厂时电动机的电枢线连接错误，即：驱动器的L/M/N端子未与电动机插头的A/B/C连接端一一对应，相序存在错误；重新连接后，故障消失，Z轴可以正常工作。",,,,
例244.,"故障现象：某配套FANUCOTMATE系统的数控车床，在加工过程中，经常出现伺服电动机过热报警。
","分析及处理过程：本机床伺服驱动器采用的是FANUCS系列伺服驱动器，当报警时，触摸伺服电动机温度在正常的范围，实际电动机无过热现象。所以引起故障的原因应是伺服驱动器的温度检测电路故障或是过热检测热敏电阻的不良。
通过短按伺服电动机的过热检测热敏电阻触点，再次开机进行加工试验，经长时间运行，故障消失，证明电动机过热是由于过热检测热敏电阻不良引起的，在无替换元件的条件下，可以暂时将其触点短接，使其系统正常工作。",,,,,,,
例245.,"故障现象：某配套FANUCOTMATE系统的数控车床，在加工过程中，经常出现X轴伺服电动机过热报警。
","分析及处理过程：故障分析过程同上倒，经检查X轴伺服电动机外表温度过高，事实上在在过热现象。
测量伺服电动机空载工作电流，发现其值超过了正常的范围。测量各电枢绕组的电阻，发现A相对地局部短路；拆开电动机检查发现，由于电动机的防护不当，在加工时

冷却液进入了电动机，使电动机绕阻对地短路。修理电动机后，机床恢复正常。例246.驱动器出现OVC报警的故障维修
","故障现象：某配套FNUCOT–C系统、采用FANUCS系列伺服驱动的数控车床，手动运动互轴时，伺服电动机不转，系统显示ALM414报警。
","分析及处理过程：FANUCOT–C出现ALM414报警的含义是“X轴数字伺服报警”，通过检查系统诊断参数DGN727~723，发现其中DGN720bit5

1.故可以确定本机床故障原因是X轴OVC（过电流）报警。
分析造成故障的原因很多，但维修时最常见的是伺服电动机的制动器未松开。
在本机床上，由于采用斜床身布局，所以X轴伺服电动机上帝有制动器，以防止停电时的下滑。经检查，本机床故障的原因确是制动器未松开；根据原理图和系统信号的状态诊断分析，故障是由于中间继电器的触点不良造成的，更换继电器后机床恢复正常。",,,,,
例247.,"故障现象：某配套FANUCOTD系统的二手数控车床，配套FANUCa系列数字伺服，开机后，系统显示ALM417、427报警。
","分析及处理过程：FANUCOTD出现ALM417、427报警的含义是“数字伺服参数设定错误”。
由于机床为二手设备，调试时发现系统的电池已经遗失，因此，系统的参数都在不同程度上在在错误。进一步检查系统主权，发现主板上的报警指示灯L1、L2亮，驱动器显示“–”，表明驱动器未准备好。
根据系统报警ALM4、427可以确定，引起报警可能的原因有：
l）电动机型号参数8*20设定错误。
2）电动机的转向参数8*22设定错误。
3）速度反馈脉冲参数8*23设定错误。
4）位置反馈脉冲参数8*24设定错误。
5）位置反馈脉冲分辨率PRM037bit7设定错误，等等。
通过数字伺服设定页面，在正确设定以上参数以及系统的PRM900~PRM919参数后，通过数字伺服的初始化操作，报警消失，主板上的报警指示灯L1、L2灭，驱动器显示“0”，表明驱动器己经准备好，本故障排除。",,,,,,,
例248.,"故障现象：一台配套FANUCOTD系统aC伺服驱动的二手数控车床，开机后系统显示ALM401报警。
","分析及处理过程：FANUCOTD系统出现ALM401报警的原因是驱动器未准备好，
（DRDY）信号未接通。

检查驱动器状态，发现7段数码管显示为“一”，表明驱动器未准备好。由于机床为二手设备，停机时间已较长，并经过了多次转手，因此，系统参数丢失的可能性较大。
维修时，通过检查机床上使用的电动机型号、编码器类型、丝杠螺距与减速比等相关参数后，重新对数字伺服系统进行了初始化处理（初始化的方法详见第5章第5.2.6节）后，起动机床，驱动器显示“0”，CNC报警消失，通过操作试验，机床X、Z轴可以正常工作。",,,,,,,
例249.,"故障现象：某配套FANUCPMD的数控车床，在工作过程中，发现加工工件的
X向尺寸出现无规律的变化。
","分析及处理过程：数控机床的加工尺寸不稳定通常与机械传动系统的安装、连接与精度，以及伺服进给系统的设定与调整有关。在本机床上刺用百分表仔细测量X轴的定位精度，发现丝杠每移动一个螺距，X向的实际尺寸总是要增加几十微米，而且此误差不断积累。
根据以上现象分析，故障原因似乎与系统的“齿轮比”、参考计数器容量、编码器脉冲数等参数的设定有关，但经检查，以上参数的设定均正确无误，排除了参数设定不当引起故障的原因。
为了进一步判定故障部位，维修时拆下X轴伺服电动机，并在电动机轴端通过划线作上标记，利用手动增量进给方式移动X轴，检查发现X轴每次增量移动一个螺距时，电动机轴转动均大于360°。同时，在以上检测过程中发现伺服电动机每次转动到某一固定的角度上时，均出现“突跳”现象，且在无“突跳”区域。运动距离与电动机轴转过的角度基本相符（无法精确测量，依靠观察确定）。
根据以上试验可以判定故障是由于X轴的位置检测系统不良引起的，考虑到“突跳”仅在某一固定的角度产生，且在无“突跳”区域，运动距离与电动机轴转过的角度基本相符。因此，可以进一步确认故障与测量系统的电缆连接、系统的接口电路无关，原因是编码器本身的不良。
通过更换编码器试验，确认故障是由于编码器不良引起的，更换编码器后，’机床恢复正常。",,,,,,,
例250.,"故障现象：某配套FANUCOT系统的数控车床，在工作运行中，被加工零件的Z轴尺寸逐渐变小，而且每次的变化量与机床的切削力有关，当切削力增加时，变化量也会随之变大。
",分析及处理过程：根据,"故障现象分析，产生故障的原因应在伺服电动机与滚珠丝杠之间的机械连接上。由于本机床采用的是联轴器直接联接的结构形式，当伺服电动机与滚珠丝杠之间的弹性联轴器未能锁紧时，丝杠与电动机之间将产生相对滑移，造成Z

轴进给尺寸逐渐变小。
解决联轴器不能正常锁紧的方法是压紧锥形套，增加摩擦力。如果联轴器与丝杠、电动机之间配合不良，依靠联轴器本身的锁紧螺钉无法保证锁紧时，通常的解决方法是将每组锥形弹性套中的其中一个开一条0.5mm左右的缝，以增加锥形弹性套的收缩量，这样可以解决联轴器与丝杠、电动机之间配合不良引起的松动。",,,,,,
"例251.实际移动量与理论值不符的故障维修
","故障现象：某配套FANNCOT的数控车床，用户在加工过程中，发现X、Z轴的实际移动尺寸与理论值不符。
","分析及处理过程：由于本机床X、Z轴工作正常，故障仅是移动的实际值与理论值不符，因此可以判定机床系统、驱动器等部件均无故障，引起问题的原因在于机械传动系统参数与控制系统的参数匹配不当。
机械传动系统与控制系统匹配的参数在不同的系统中有所不同，通常有电子齿轮比、指令倍乘系数、检测倍乘系数、编码器脉冲数、丝杠螺距等。以上参数必须统一设定，才能保证系统的指令值与实际移动值相符。
在本机床中，通过检查系统设定参数发现，X、Z轴伺服电动机的编码器脉冲数与系统设定不一致。在机床上，X、Z轴的电动机的型号相同，但内装式编码器分别为每转2000脉冲与2500脉冲，而系统的设定值正好与此相反。
据了解，故障原因是用户在进行机床大修时，曾经拆下X、Z轴伺服电动机进行清理，但安装时未注意到编码器的区别，从而引起了以上问题。对X、Z电动机进行交换后，机床恢复正常工作。",,,,,,,
"例252.FANUCOTD系统ALM416报警的维修
","故障现象：一台配套FANUCOTD系统aC伺服驱动的二手数控车床，开机后系统显示ALM401、ALM416报警。
","分析及处理过程：FANUCOTD系统出现ALM401报警的含义同前述，ALM416报警的含义是“位置测量系统连接不良”。
检查系统的诊断参数，DGN202bit4
l，证明故障原因是电动机内装式串行脉冲编码器断线。
根据报警提示，检查X、Z轴编码器连接电缆，发现X轴位置编码器连接电缆存在部分断线。
重新连接，更换编码器电缆后，报警排除，机床X、Z轴恢复正常工作。例253.FANUC11系统发生SV023报警的维修
","故障现象：一台配套FANUC11M系统的加工中心，开机时，发生SV023和SV009报
警。

","分析及处理过程：FANUC11M发生SV023报警的含义是“伺服驱动系统过载”，SV009报警的含义是“在移动过程中，位置跟随误差超差”。在这两个报警中，如驱动器发生SV023报警，必然会引起驱动器的停止，从而产生SV009报警。因此，SV023是本机床故障的主要原因。产生SV023报警可能的原因有：
1）电动机负载太大。
2）速度控制单元上的热继电器动作。
3）伺服变压器热敏开关动作。
4）驱动器再生反馈的能量过大。
5）速度控制单元的设定错误或调整不当。
对于以上故障，可以通过如下方法进行检查、判别：
1）电动机负载太大：可在机床运行时，通过测定电动机电流，判断它是否超过额定值。
2）速度控制单元上的热继电器动作：可以通过检查热继电器的电流设定值是否小于电动机额定电流、并观察热继电器是否动作进行判定。
3）伺服变压器热敏开关动作：可以通过触摸变压器表面温度进行判断。如变压器表面温度低于60°C时，热敏开关动作，则说明此开关不良；否则，属于变压器过热。
4）再生反馈的能量过大：可以检查电动机的加、减频率是否过高；垂直轴的平衡是否合适等。
5）速度控制单元的设定错误或调整不当：可以通过检查设定端、信号动态波形等进行确认。
根据以上分析，经测试机床空运时的电动机电流，发现电流值已经超过电动机的额定电流。将伺服电动机拆下后，在电动机不通电的情况下，用手转动电动机输出轴，结果发现轴的转动困难。由于该电动机不带制动器，因此，可以判定电动机存在问题，经进一步检查发现，电动机输出轴轴承损坏，维修后机床恢复正常。",,,,,
"例254.FANUC15系统偶尔出现SV013报警的维修
","故障现象：一台配套FANUC15MA数控系统的龙门加工中心，在正常加工过程中，系统偶尔出现SV013报警。
","分析及处理过程：FANUC15MA系统出现SV013报警的含义是“Y轴伺服驱动器的V–READY信号断开（YAXISIMPROPERV–READYOFF）”。检查伺服驱动器，发现Y轴伺服驱动上的VRDY发光二极管不亮。
由于FANUC交流伺服驱动的VRDY信号是在伺服驱动器的主接触器MCC吸合、伺服驱动器主回路接通后，如驱动器工作正常（即驱动器无过电流、过电压、过热、测速反馈等报警），MCC就保持吸合，信号VRDY为“1”。

本故障的实质是主接触器MCC未能正常吸合、保持或触点接触不良，根据本章前述，其可能的原因有：
1）伺服驱动器故障。
2）驱动器主回路过电流。
3）CNC与伺服单元之间的电缆连接不良。
仔细检查Y轴伺服驱动器，发现驱动器除VRDY发光二极管不亮外，无其他的报警灯亮，由此可初步排除驱动器主回路过电流的原因。检查CNC和伺服驱动器间的连接电缆，未发现连接问题。
为了进一步判定故障原因，维修时将Y轴和Z轴伺服驱动器的控制板进行了交换，但故障仍然存在，排除了驱动器控制板不良的原因。接着，又交换了Y轴和Z轴伺服驱动器的功放板，交换后故障从Y轴移到了Z轴，由此判定故障原因在Y轴伺服驱动器的功放板。
对照FANUC交流伺服主回路进行详细检查，确认主回路的电气元器件均无故障，由此推断产生故障的原因可能是MCC接触器本身的不良。为了确认，维修时通过外部电源直接给MCC接触器线圈加110V交流控制电压，经试验发现MCC存在自动断开现象，说明MCC接触器线圈存在故障。
更换接触器后，机床恢复正常。",,,,,,,
"例255.FANUC16系统ALM411、ALM414报警的维修
","故障现象：某配套FANUC16系统的进口卧式加工中心，在B轴回转时出现
ALM414、ALM411报警。
","分析及处理过程：FANUC16系统发生ALM411报警的含义是“移动过程中位置遍差过大”；ALM414的含义是“数字伺服报警（B–AxisDETECTIONSYSTEMERROR）”。
该机床的B轴为回转工作台，经诊断、检查，确认故障原因为B轴过电流。
仔细观察机床B轴的","故障现象，发现B轴在一抬起后即开始回转，两个动作间几乎没有停顿过程，因此，分析故障原因可能是由于B轴抬起未到位引起的。
鉴于机床液压系统压力已达到规定值，且B轴抬起开关的安装位置不方便调整，通过PMC程序检查发现，抬起信号在PMC程序中是通过延时实现的。为此，首先通过延长延时时间，进行了进一步试验。
通过试验，结论是当延时时间加长后，B轴可以到达完全抬起的状态，结合考虑效率与可靠性因素，最终将延时由原0.5s改为k后，故障排除，机床恢复正常。",,,,,,
"例256.FANUC16系统ALM410报警的维修
","故障现象：一台配套FANUC16系统的卧式加工中心，开机后CNC部出现ALM41（0Z
轴）报警，机床无法正常起动。

","分析及处理过程：FANU16系统出现ALM410的含义是“轴停止时的任意跟随误差超差”。导致系统出现该报警的原因较多，如电动机电极相序不正确，编码器连接不良等。在本机床上，由于故障前机床工作正常，因此可以基本排除电动机相序的原因，检
查驱动器与电动机的连接均正确无误，插头固定良好，排除了连接上可能产生的报警原因。
进一步观察机床的实际","故障现象，发现机床开机时无报警，但一旦Y轴制动器松开后，主轴箱即有较明显的下落，随即CNC出现报警。针对以上现象，维修时根据该机床Y轴采用的是液压平衡系统的特点，结合主轴箱在Y轴松开后存在自落的现象，初步判断，报警与液压平衡系统有关。
为了验证，在对主轴箱下部用木块进行局部支撑，并留少量间隙后，起动液压系统，并手动强制松开Y制动器后试验，试验发现，一旦Y制动器被松开，主轴箱立即下落，并到达支撑位置。
但若在Y轴已支撑的情况下，再次起动机床，系统无报警，Y轴亦可以正常工作，由此确认故障是由于Y轴平衡系统不良引起的。在对液压平衡系统进行维修、调整后，故障消失，机床恢复正常工作。",,,,,,
"例257.FANUC16B系统ALM414报警的维修
","故障现象：一台配套FANUC16B系统、a系列伺服驱动的卧式加工中心，在用户因驱动器损坏，重新更换Y轴驱动器后，开机后移动Y轴时，出现ALM414报警。
","分析及处理过程：FANUC16B出现ALM414报警的含义是“数字伺服报警”，故障原因可以通过诊断参数DGN200~DGN204进行检查。
检查发现，该机床DGN200bit2＝“1”，表明再生制动电路存在不良，进一步检查驱动器，其状态显示为“4”，表明再生制动电路存在报警。
考虑到驱动器更换的是全新备件，据现场了解，更换驱动器前已经确认Y轴电动机、连接电缆均无异常，分析以上几点，初步确定故障原因是驱动器设定不正确引起的。通过检查实际机床电气控制系统的设计，确认该轴驱动器使用了外接2009的再生
制动电阻。因此，驱动器设定必须与此相对应。打开驱动器前盖检查，发现驱动器的再生制动设定（S3/S4）不正确。进行正确的设定后，故障排除，机床恢复正常工作。",,,,,,,
例258.,"故障现象：一台配套FANUC16B系统、a伺服驱动的进口立式加工中心，在自动加工过程中，经常出现Y轴ALM414、ALM411报警。
","分析及处理过程：FANUC16B系统出现ALM414、ALM4ll的含义及分析过程同前述，通过诊断参数DGN200、DGN201检查，出现报警时DGN200bit7＝“1”，DGN201bit7＝“0”，表明故障原因为Y轴电动机过热。在故障时手摸Y轴伺服电动机，感觉电动机外表发

烫，证明Y轴电动机事实上存在过热。
由于机床在开机后的一定时间内工作正常、无报警，因此，初步判定故障是Y轴负载太大引起的。
在停机后，手动转动Y轴丝杠，发现转动十分困难，由此确认故障原因在机械部分。维修时检查Y轴拖板与导轨，发现该机床床身上切屑堆积，Y轴导轨污染严重。重新清除铁屑，拆下Y轴导轨镶条，对拖板进行全面清理、维护保养后，经连续运行试验，故障消失，机床恢复正常工作。",,,,,,,
例259.,"故障现象：一台配套FANUC16B系统、a伺服驱动的进口立式加工中心，在回转工作台（A轴）回转时，出现A轴ALM414、ALM4ll报警。
",分析及处理过程：FANUC16B系统出现ALM414、ALM4ll的含义及分析过程同前述，通过诊断参数检查确认，故障原因是A轴过载。现场分析，该机床A轴为回转工作台，并有带液压夹具的尾架，引起A轴过载的原因可能与回转台的松开与尾架的松开动作有关。为了确定故障部位，在维修过程中，取下了液压夹具，使尾架与回转台连接脱开后，再开机试验，机床故障消失，由此判定，导致A轴过载的原因可能与尾架有关。开机，松开尾架后，手动转动尾架发现转动困难，重新调节尾架夹紧、松开机构，在确认尾架能可靠松开后，开机试验，故障消失，机床恢复正常。,,,,,,,
