问题,答案
问题:什么是闭环控制数控机床伺服驱动部分的结构原理图？,答案:图5-1d是闭环控制数控机床伺服驱动部分的结构原理图。
问题:闭环控制系统对机械结构以及传动系统的要求比半闭环更高，为什么？,答案:由于闭环控制系统的工作特点，传动系统的刚度、间隙、导轨的爬行等各种非线性因素将直接影响系统的稳定性，严重时甚至产生振荡。
问题:采用直线电动机作为驱动系统的执行器件有什么好处？,答案:采用直线电动机驱动，可以完全取消传动系统中将旋转运动变为直线运动的环节，大大简化机械传动系统的结构，实现了所谓的“零传动”。它从根本上消除了传动环节对精度、刚度、快速性、稳定性的影响，故可以获得比传统进给驱动系统更高的定位精度、快进速度和加速度。
问题:什么是伺服系统在数控机床中的作用？,答案:伺服系统在数控机床中应包括从位置指令脉冲给定到实际位置输出的全部环节，包括位置控制、速度控制、驱动电动机和检测元器件等部分。
问题:伺服进给系统通常包括哪些部分？,答案:伺服进给系统通常包括伺服进给系统的速度控制单元、伺服电动机和检测元器件部分。
问题:按伺服电动机类型，常用的伺服进给系统可以分为哪两类？,答案:常用的伺服进给系统可以分为直流伺服驱动和交流伺服驱动两大类。
问题:在 20 世纪 70 年代至 80 年代的数控机床上，一般采用哪种伺服驱动方式？,答案:在 20 世纪 70 年代至 80 年代的数控机床上，一般均采用直流伺服驱动。
问题:从 80 年代中、后期起，数控机床上多采用哪种伺服驱动方式？,答案:从 80 年代中、后期起，数控机床上多采用交流伺服驱动。
问题:直流伺服驱动系统可以分为哪两类？,答案:直流伺服驱动系统一般按其主回路采用的功率放大元器件类型，又分“晶闸管调速方式”简称为 SCR 速度控制系统和“晶体管脉宽调制调速方式”简称 P*M 速度控制系统两类。
问题:模拟量控制和数字量控制分别指的是什么？,答案:在直流伺服驱动系统中，控制上可以采用模拟量控制或数字量控制。模拟量控制是指采用模拟信号进行控制，而数字量控制是指采用数字信号进行控制。
问题:交流伺服系统一般采用什么方式进行控制？,答案:交流伺服系统一般均采用 P*M 调制信号控制功率晶体管进行驱动放大的主回路。
问题:交流伺服系统可以分为哪两类？,答案:交流伺服系统按其指令信号与控制型式，分为模拟式伺服与数字式伺服两类。
问题:目前常用的交流伺服系统是什么类型？,答案:目前使用的交流伺服通常都是采用数字量控制的全数字式交流伺服系统。
问题:早期的直流伺服系统一般采用什么速度控制系统？,答案:在早期的数控系统上，直流伺服系统一般都采用 SCR 速度控制系统。
问题:世纪 80 年代中期开始，直流伺服系统采用什么速度控制系统逐渐取代了 SCR 速度控制系统？,答案:到了 20 世纪 80 年代中期，开始逐步被 P*M 速度控制系统所代替。
问题:直流伺服电动机通常采用哪种永磁材料？,答案:直流伺服电动机一般采用以铁氧体作为永磁材料的“永磁式直流伺服电动机”。
问题:伺服电动机的电枢部分与哪种电动机相似？,答案:伺服电动机的电枢部分与普通直流电动机相似。
问题:伺服电动机通常分为哪几种惯量电动机？,答案:伺服电动机通常按转子惯量的大小分为大惯量电动机、中惯量电动机及小惯量电动机 3 种。
问题:SCR 速度控制系统的主回路有哪些形式？,答案:SCR 速度控制系统的主回路有多种形式，如：单相半控桥式整流、单相全控桥式整流、三相半波整流、三相半控桥式整流、三相全控桥式整流等。
问题:在伺服驱动系统中，哪种单相整流电路使用较少？,答案:在伺服驱动系统中，单相半控桥式整流及单相全控桥式整流，由于输出波形较差，调速范围有限，因此使用较少。
问题:数控机床对于直流伺服驱动，速度控制单元的主回路一般采用哪种整流电路？,答案:对于直流伺服驱动，速度控制单元的主回路一般都采用三相全控桥式整流电路。
问题:SCR 速度控制系统可分为哪两种类型？,答案:SCR 速度控制系统可分为“无环流”和“有环流可逆”系统两种类型。
问题:什么是有环流可逆系统，它有什么优缺点？,答案:有环流可逆系统是一种具有反应迅速优点的系统，但其线路较复杂。
问题:无环流可逆系统有什么特点，存在什么问题？,答案:无环流可逆系统线路简单，但存在换向死区。
问题:为了提高快速性和精度，数控机床用的伺服驱动系统通常采用什么系统？,答案:为了提高快速性和精度，数控机床用的伺服驱动系统一般都采用逻辑无环流可逆系统。
问题:逻辑无环流可逆系统是什么样的控制系统，具有哪些特点？,答案:逻辑无环流可逆系统是一种既有速度环又有电流环的双环自动控制系统。该系统具有阻容滤波、比较放大、PI调节器等特点。
问题:为了减少晶闸管电路的死区，引入了什么控制信号？,答案:答案：引入了“颤动偏置”和“颤动偏移”控制信号。
问题:“颤动偏置”和“颤动偏移”控制信号的作用是什么？,答案:答案：它们使伺服电动机在静止状态时呈“颤动”状态，从而提高了系统的灵敏度。
问题:速度调节器输出的电流给定值与什么信号一起输入电流调节器？,答案:答案：与“颤动信号”以及电流反馈值一起输入电流调节器。
问题:电流调节器通常使用什么类型的调节器？,答案:答案：电流调节器通常使用比例调节器，以加快电流环的响应速度和提高系统的稳定性。
问题:电流调节器的输出信号如何控制晶闸管整流桥的导通角？,答案:答案：电流调节器的输出信号经过由同步电路和移相控制电路组成的移相触发环节，来控制晶闸管整流桥的导通角，从而达到调速的目的。
问题:当电动机转速增加时，测速发电机的输出电压会发生什么变化？,答案:随着电动机转速的增加，测速发电机输出电压也逐渐增加，当它等于或接近于给定值时，系统达到新的平衡点，电动机就按要求的转速稳定旋转。
问题:当系统受到外界干扰时，电动机的转速和测速发电机的输出电压会发生什么变化？,答案:当系统受到外界干扰，例如负载突然增加时，电动机输出转速就下降，测速发电机的输出电压也随之下降，使速度调节器的速度误差增大，速度调节器的输出电压增加，触发脉冲前移，晶闸管整流器的输出电压升高，使电动机转速上升并恢复到外界干扰前的转移值。
问题:当电网电压突然降低时，整流器的输出电压和主回路电流会发生什么变化？,答案:当电网电压突然降低时，整流器的输出电压也随之降低。在电动机转速由于惯性的原因尚未变化之前，首先引起主回路电流减小。在此同时，反映主回路电流的电流反馈信号也随之减小，使电流调节器输出增加，触发脉冲前移，又使整流器输出电压恢复到原来的值，因而抑制了主回路电流的变化。
问题:双环调速系统的特点是什么？,答案:双环调速系统具有速度外环、电流内环，具有良好的静态和动态指标，可最大限度地利用电动机的过载能力，使过渡过程最短。
问题:P&M 速度控制系统是什么？,答案:P&M 速度控制系统是通过脉宽调制器对大功率晶体管的开关时间进行控制，将直流电压转换成某种频率的方波电压，并通过对脉冲宽度的控制，改变输出直流平均电压的自动调速系统。
问题:P&M 直流伺服系统的框图中通常包含哪些部件？,答案:P&M 直流伺服系统的框图通常包含脉冲编码器、指令倍乘器 CMR、数值积分器 DDA即插补器和直流电动机等部件。
问题:指令倍乘器 CMR 的作用是什么？,答案:指令倍乘器 CMR 的作用是对指令脉冲进行信频 / 分频变换，使实际机床位置分辨率与指令脉冲相对应。
问题:什么是误差寄存器 ER 的作用，它接收什么信号？,答案:误差寄存器 ER 接收指令脉冲与位置反馈脉冲比较的差值信号。
问题:位置增益G和偏移值补偿D如何影响控制过程？,答案:位置增益G和偏移值补偿D的输出与误差寄存器 ER 的输出合成后，送到脉宽调制器 PWM 进行脉宽调制。
问题:脉宽调制器 PWM 的作用是什么？,答案:脉宽调制器 PWM 将被调制的脉冲经过 D / A 变换器转换成模拟电压，作为速度控制单元的指令电压 VCMD 输出。
问题:脉冲编码器 PC 发出的脉冲经过哪些设备处理？,答案:脉冲编码器 PC 发出的脉冲，经过断线检查器 BL 确认无信号断线之后，送到鉴相器 DG 进行电动机的旋转方向的识别。
问题:速度控制单元如何实现速度的闭环控制？,答案:速度控制单元接收测速电压和指令电压 VCMD，并将它们进行比较，从而实现速度的闭环控制。
问题:如何通过设置CMR和DMR值实现控制系统适应各种场合？,答案:通过设置不同的CMR指令脉冲移动量和DMR实际机床每脉冲移动量值，可以使指令脉冲的移动量和实际机床的每脉冲移动量相一致，从而使控制系统能适合于各种场合。
问题:速度控制单元V的框图与原理是什么？,答案:速度控制单元V的框图与原理如图5-4所示。指令电压VCMD与测速反馈信号TSA经过比较、放大后，输出误差信号“ER—KVCMD – TSA”和“ – ER =  – KVCMD – TSA”。误差信号ER送到A相和B相调制器，并与三角波发生器产出的三角波进行逻辑运算后，经脉宽调制、驱动放大之后输出TRA和TRB信号，控制晶体管VTA和VTB的基极；– ER信号与H角波进行逻辑运算后，经脉宽调制、驱动放大之后输出TRC和TRD信号，控制晶体管VTC和VTD的基极。
问题:什么是 At 在波形图中的含义？,答案:At 在波形图中表示工作死区，该值要大于晶体管的关断时间，以确保晶体管不会出现 VTA 和 VTB、VTC 和 VTD 同时导通的情况，避免电源短路。
问题:当 ER 值较小时，会给电动机电枢供电的晶体管导通时间发生什么变化？,答案:当 ER 值 – ER 值较小时，给电动机电枢供电的晶体管导通时间变短，电枢两端的电压脉宽变窄，平均电压较低，从而使直流电动机的转速降低。
问题:P2M 速度控制系统与 SCR 速度控制系统相比，具有哪些优点？,答案:P2M 速度控制系统与 SCR 速度控制系统相比，具有有效防止系统产生共振、提高数控机床工作的稳定性的优点。在 SCR 速度控制系统中，由于晶闸管的工作频率与电源频率相同，可能诱发机械系统的共振，影响数控机床的工作稳定性，从而影响被加工零件的表面精度。
问题:在 P2M 控制方式中，为什么可以避免系统可能产生的共振？,答案:由于晶体管工作频率很高约 2kHz，远远高于机械系统的固有频率。
问题:P2M 控制方式如何保证机床在低速运动时仍能稳定地工作？,答案:在 P2M 控制方式中，由于开关频率很高，依靠电枢绕组的电感滤波作用就可获得脉动很小的直流电流，而且电枢电流也很容易连续，因此，机床在低速时仍然可以平滑、稳定地工作。
问题:P2M 控制方式与 SCR 速度控制系统相比，电动机损耗和发热有何优势？,答案:由于 P2M 速度控制系统输出电流的纹波系数只有 1.001 ~ 1.03，而 SCR 速度控制系统为 1.05 ~ 1.6，所以电动机在同样的输出转矩时，前者的电动机损耗和发热均较后者小。
问题:P%M速度控制系统适用的场合是什么？,答案:当P%M控制方式的速度控制单元与小惯量的电动机相匹配时，可以充分发挥系统的性能，使系统具有快的响应，因此，它适合于频繁起、制动的场合。
问题:P%M速度控制系统有哪些优点？,答案:P%M速度控制系统的动态特性好，具有很宽的响应频率范围，因此整个系统的动态特性好，系统校正瞬态负载扰动的能力强。特别是在负载周期性变化的场合，机床仍能平稳地工作，延长了刀具使用寿命，改善了被加工零件表面的精度。
问题:交流伺服驱动系统与直流伺服系统相比有哪些优势？,答案:交流伺服驱动系统比直流伺服系统具有更好的动态特性，结构简单，无电刷和换向器等易磨损部件，维护成本较低。同时，交流电动机的制造成本也较低，材料消耗较少。
问题:什么是交流伺服电动机，它与直流电动机相比有什么优点？,答案:交流伺服电动机亦称为无刷直流伺服电动机，与直流电动机相比，由于没有换向器，因此克服了以上缺点，提高了机床的可靠性、快速性和整体性能。
问题:近年来交流伺服系统的发展趋势如何？,答案:随着新型大功率电力电子器件的出现，新型变频技术，现代控制理论以及数字控制技术等技术的发展，交流伺服系统取得了快速发展，在中小功率的伺服驱动系统上，有全面取代直流伺服驱动的趋势。
问题:交流伺服电动机一般是什么类型的电动机，永磁材料有哪些选择？,答案:交流伺服电动机一般都是永磁式的三相同步电动机。永磁材料可分别采用铁氧体、铝镍钴和稀土材料等，电动机一般采用全封闭结构。
问题:交流伺服电动机有哪些特点？,答案:交流伺服电动机具有以下特点：采用特殊的转子结构，实现了最小的转矩波动；定子通常采用无外壳的结构，改善了电动机的冷却效果、减小了体积和重量，提高了加/ 减速能力。
问题:现代交流伺服系统通常采用什么控制方式？,答案:现代交流伺服系统一般都采用磁场矢量控制方式。
问题:这种控制方式对交流伺服驱动系统的性能有何影响？,答案:磁场矢量控制方式使交流伺服驱动系统的性能完全达到了直流伺服驱动系统的性能。
问题:现代交流伺服系统在低速时的表现如何？,答案:系统在极低速度时仍能平滑地运转，而且具有很快的响应速度。
问题:高速区的转矩特性如何？,答案:在高速区仍然具有较好的转矩特性，即电动机的输出特性“硬度”好。
问题:现代交流伺服系统在噪声和振动方面有何优势？,答案:可以将电动机的噪声和振动抑制到最低的限度。
问题:现代交流伺服系统在转矩/惯量比方面有何优势？,答案:具有很高的转矩/惯量比，可实现系统的快速起动和制动。
问题:现代交流伺服系统如何提高位置控制精度？,答案:通过采用高精度的脉冲编码器作为反馈器件，采用数字控制技术，可大大提高系统的位置控制精度。
问题:现代交流伺服系统的驱动单元通常采用什么？,答案:驱动单元一般都采用大规模的专用集成电路。
问题:现代交流伺服系统的结构有何特点？,答案:系统的结构紧凑、体积小、可靠性高。
问题:什么是交流伺服系统的主要类型？,答案:交流伺服系统按其指令信号与内部的控制形式，可以分为模拟式伺服与数字式伺服两类。
问题:初期的交流伺服系统一般是什么类型的？,答案:初期的交流伺服系统一般是模拟式伺服系统。
问题:目前常用的交流伺服系统是什么类型的？,答案:目前常用的交流伺服系统通常是全数字式交流伺服系统。
问题:模拟式交流伺服系统的典型工作过程是什么？,答案:模拟式交流伺服系统的工作过程包括：速度给定指令来自数控系统，速度反馈信号来自检测元件脉冲编码器，速度误差信号经过调节器放大后作为转矩指令输出，转矩指令信号与转子位置计算回路中输出的算子相乘后作为电流指令信号输出。
问题:什么是电流误差信号，它在交流伺服电动机控制中起到什么作用？,答案:电流误差信号是电流指令与电流反馈信号相比较后产生的信号，它经放大后输出到P*M控制回路，用于进行脉宽调制控制，从而控制交流伺服电动机的电枢。
问题:什么是脉宽调制控制，它在交流伺服电动机控制中起到什么作用？,答案:脉宽调制控制是一种通过改变脉冲宽度来调节输出信号平均值的调制方法。在交流伺服电动机控制中，脉宽调制控制通过功率晶体管与电源回路的逆变形成三相交流电，从而控制交流伺服电动机的电枢。
问题:专用大规模集成电路在交流伺服驱动中的作用是什么？,答案:在实际系统中，通常使用集成一体的专用大规模集成电路来实现交流伺服驱动。例如，在FANUC常见的交流伺服驱动中，AF20型号的集成电路包括两个乘法器和一个转子位置计算回路；MB63137型号的集成电路包括P*M控制回路和脉冲编码器的接收回路。
问题:数字式交流伺服系统的组成是什么？,答案:数字式交流伺服系统通常只需要一片专用大规模集成电路，如FANUC公司的MB651105专用大规模集成电路。这种系统的组成包括总线、调度、驱动系统的CPU和信号处理器等部分。
问题:数字式交流伺服系统的特点是什么？,答案:数字式交流伺服系统具有以下特点：通过总线与调度，驱动系统的CPU和信号处理器可以共用RAM，从而减少了元器件的数量。
问题:数字式伺服系统有哪些功能？,答案:数字式伺服系统具有A/D变换控制功能，电流环、速度环、位置环控制功能，驱动系统CPU与主CPU之间通信功能，P*M信号产生功能和位置检测信号处理功能。
问题:数字式伺服系统使用什么作为位置检测器件？,答案:在数字式伺服系统中，可以采用绝对脉冲编码器作为位置检测器件。
问题:数字式伺服系统开机时是否需要手动“回参考点”操作？,答案:在数控系统停电后，数字式伺服系统仍能记忆机床的实际位置，因此机床开机时可以不进行手动“回参考点”操作。
问题:与模拟式交流伺服系统相比，数字式交流伺服系统有哪些优点？,答案:与模拟式交流伺服系统相比，数字式交流伺服系统具有精度不受电子器件的温度漂移影响、结构简单、精度高和容易采用总线控制方式等优点。
问题:数控伺服系统有哪些优点？,答案:伺服系统的故障诊断方法有哪些？
问题:什么是最常用的伺服驱动系统之一？,答案:FANUC伺服驱动系统与FANUC数控系统一样，是数控机床上最常用的伺服驱动系统之一。
问题:FANUC伺服驱动系统可以分为哪两大类？,答案:FANUC伺服驱动系统可以分为直流驱动和交流驱动两大类。
问题:在1985年以前生产的数控机床上，通常采用哪种伺服驱动？,答案:在1985年以前生产的数控机床上，通常采用直流伺服驱动。
问题:随后生产的数控机床上，通常采用哪种伺服驱动？,答案:随后生产的数控机床上，通常采用交流伺服驱动。
问题:直流伺服系统一般用于何时生产的数控机床上？,答案:直流伺服系统一般用于20世纪80年代中期以前生产的数控机床上。
问题:什么是SCR速度控制单元的常见故障？,答案:SCR速度控制单元的主要故障包括熔断器熔断。
问题:如何检查直流电动机的去磁情况？,答案:通过测量图 5 – 9 上的电压表和电流表指示值，并按下式计算，可以判别电动机反电势常数 Ke 是否正常，从而确定电动机是否退磁。V – I x Rm
问题:电动机反电动势系数 Ke 的计算公式是什么？,答案:电动机反电动势系数 Ke 的计算公式为 Ke = V / n x 1000，其中 V 为测量的电压值V，n 为电动机转速r/min。
问题:如何确定电动机的相序是否正确？,答案:由于 SCR 速度控制单元对电源的输入有相序要求，因此需要检查电源的相序是否正确。可以使用相序表进行检查，确保电源的相序与电动机的要求一致。
问题:相序不正确会导致什么后果？,答案:接通电源后将造成速度控制单元的输入熔断器的熔断。
问题:如何检查相序？,答案:可以通过用相序表或示波器进行相序检查。
问题:如何使用相序表检查相序？,答案:在主回路与同步电源 R、S、T 连接一一对应的前提下，测量 R、S、T 的相序，当相序正确时，相序表应按顺时针方向旋转。
问题:如何使用示波器检查相序？,答案:在主回路与同步电源 R、S、T 连接一一对应的前提下，双线示波器按照图 5 – 10b 连接，当 UAB、UCB 的波形为图 5 – 10b 所示时两个波形在相位上相差 120°，则表明相序正确。
问题:在直流伺服驱动系统中，是否可以用观察交流电动机转向的方式检查相序？,答案:不可以用观察交流电动机转向的方式检查相序，因为在直流伺服驱动系统中，相序必须一一对应。
问题:状态指示灯显示的报警,答案:FANUC 公司生产的 SCR 速度控制单元，在控制线路板上带有 3 个状态指示灯，它们分别为 PRDY、TGLS 和 OVC 指示灯，其含义如下：
问题:什么方法可以用于确认问题？,答案:可以通过互换法或更换备件进行确认。
问题:辅助电源电压异常表示什么？,答案:辅助电源电压异常表示+ 5V，+ 24V，+ 15V，– 15V 电源故障。
问题:什么问题可能导致速度控制单元与系统位置控制板之间的连接不良？,答案:安装、接触不良可能导致速度控制单元与系统位置控制板之间的连接不良。
问题:TGLS 灯亮表示什么？,答案:TGLS 灯亮表示速度控制单元发生了测速发电机断线报警。
问题:什么问题可能导致测速发电机断线报警？,答案:作为速度反馈的部件如：测速发电机或脉冲编码器的测量信号线断线或连接不良，或者电动机的电枢线断线或连接不良，可能导致测速发电机断线报警。
问题:OVC 灯亮表示什么？,答案:OVC 灯亮表示速度控制单元发生了过电流报警。
问题:什么问题可能导致过电流报警？,答案:过电流设定不当可能导致过电流报警。应检查速度控制单元上的过电流设定电位器 RV3 的设定是否正确。
问题:电动机负载过重时应该怎么做？,答案:电动机负载过重时，应改变切削条件或机械负荷，检查机械传动系统与进给系统的安装与连接。
问题:电动机运动有振动时应该检查哪些方面？,答案:电动机运动有振动时，应检查机械传动系统、进给系统的安装与连接是否可靠，测速机是否存在不良。
问题:负载惯量过大时应该怎么做？,答案:负载惯量过大时，应检查伺服系统的参数设定与调整是否正确、合理。
问题:位置环增益过高时应该怎么做？,答案:位置环增益过高时，应检查伺服系统的参数设定与调整是否正确、合理。
问题:交流输入电压过低时应该怎么做？,答案:交流输入电压过低时，应检查电源电压是否满足规定的要求。
问题:超过速度控制范围时，速度控制单元超速的原因有哪些？,答案:超过速度控制范围时，速度控制单元超速的原因包括测速反馈连接错误、全闭环系统中连接不良、位置控制板发生故障以及速度控制单元设定不当。
问题:什么原因可能导致数控机床坐标轴振动或爬行？,答案:答案：驱动器上引起机床振动的原因主要有机械系统连接不良如：联轴器损坏等、脉冲编码器或测速发电机不良、电动机电枢线圈不良如：内部短路。
问题:如何检查脉冲编码器或测速发电机是否不良？,答案:答案：将位置环、速度环断开，手动电动机旋转，观察速度控制单元印制电路板上 F / V 变换器的电压检测端子 CH12，如果出现电压突然下跌的波形，则说明反馈部件不良。
问题:如何确认电动机电枢线圈是否不良？,答案:答案：可以通过测量电动机的空载电流进行确认，若空载电流随转速成正比增加，则说明电动机内部有短路现象。
问题:如何解决电动机出现的故障？,答案:如果电动机出现故障，一般应首先清理换向器、检查电刷等环节，再进行测量确认。如果故障现象依然存在，则可能是线圈匝间有短路现象，需要对电动机进行维修处理。
问题:如何处理速度控制单元不良的问题？,答案:如果速度控制单元不良，应首先检查速度控制单元的调整与设定，若调整与设定正确，可通过更换速度控制单元的印制电路板或进行维修处理。
问题:如何应对外部干扰？,答案:对于固定不变的干扰，可检查 F / V 变换器CH2 检测端子、电流检测CH11端子，以及同步端CH13A C的波形，检查是否存在干扰，并采取相应的措施。对于偶然性干扰，只有通过有效的屏蔽、可靠的接地等措施，尽可能予以避免。
问题:如何解决系统振荡的问题？,答案:如果系统出现振荡，应观察电动机电流的波形是否有振荡，引起振荡的可能原因是 RVI 调整不当、测速机不良或是丝杠的间隙太大等原因。
问题:超调产生的原因有哪些？,答案:伺服系统速度环增益大低或位置环增益太高。可以通过调整速度控制单元电位器 RV1，提高速度环增益；或通过改变系统的机床参数，降低位置环增益进行优化。此外，还可以通过改变速度控制单元的 S6、S7、S9 设定等措施解决。2提高伺服进给系统和机械进给系统的刚性。
问题:单脉冲进给精度差产生的原因有哪些？,答案:机械传动系统的间隙、死区或精度不足。应重新调整机械传动系统，消除间隙，减小摩擦阻力，提高机械传动系统的灵敏度。2伺服系统速度环或位置环增益太低。这时可以通过调整速度控制单元的电位器 RV1 解决。
问题:低速爬行产生的原因有哪些？,答案:系统不稳定，产生低速振荡。
问题:机械传动系统惯量过大，如何解决？,答案:对于机械传动系统惯量过大的情况，可以通过改变印制电路板上速度控制单元的 SS 设定使其断开以及重新调整 RV1 解决。
问题:圆弧切削时切削面出现条纹，原因有哪些？,答案:造成圆弧切削时切削面出现条纹的原因包括：伺服系统增益设定不当、速度控制单元的 CH11 端子上的电流波形不连续以及机械传动系统存在连接松动、间隙等问题。
问题:PM 速度控制单元的常见故障与维修有哪些？,答案:PM 速度控制单元的常见故障与维修包括：CRT 无报警显示的故障维修、伺服系统增益不当导致的故障、电流波形不连续导致的故障以及机械传动系统存在连接松动、间隙等问题导致的故障。
问题:什么是机床失控，它可能会导致哪些问题？,答案:机床失控是指机床在开机时或工作过程中突然改变速度、改变位置的情况，如伺服起动时突然冲击、工作台停止时的突然向某一方向快速运动、正常加工过程中的突然加速等。机床失控可能会导致机械损坏、加工精度降低等问题。
问题:机床失控的故障原因有哪些，应如何检查和处理？,答案:机床失控的故障原因可能包括位置检测、速度检测信号不良、电动机或位置编码器故障、主板或速度控制单元故障等。检查步骤包括检查连线、检查位置、速度环是否为正反馈、由DON检查电动机或位置编码器等。处理措施包括改正连线、重新进行正确的连接、更换印制电路板等。
问题:机床振动的定义是什么？,答案:机床振动指的是机床在移动时或停止时的振荡、运动时的爬行、正常加工过程中的运动不稳等等。
问题:机床振动的故障原因有哪些？,答案:机床振动的故障原因包括位置控制系统参数设定错误、速度控制单元设定错误等。
问题:如何检查和处理机床振动的故障？,答案:检查和处理机床振动的故障需要对照系统参数说明进行检查设定、检查振动周期是否与进给速度成比例等。
问题:如何检查振动周期是否与进给速度成比例？,答案:检查振动周期是否与进给速度成比例需要根据不同情况进行故障分析，若与进给速度成正比，则见第 6 项；若振动周期基本相同，不取决于速度，则见第 4 项。
问题:如何检查短接速度控制单元的 CH5、CH6 后振动是否消除？,答案:检查短接速度控制单元的 CH5、CH6 后振动是否消除需要短接速度控制单元的 CH5、CH6，检查振动是否消除。若振动消除，则见第 7 项；若振动未消除，则见第 5 项。
问题:如何检查逆时针转动 RV1 时振动是否减小？,答案:检查逆时针转动 RV1 时振动是否减小需要短接 CH5、CH6，当逆时针转动 RV1 时，检查振动是否减小。若减少了，则见第 8 项：若未减少，则见第 9 项。
问题:如何处理位置控制系统参数设定错误？,答案:处理位置控制系统参数设定错误需要对照系统参数说明检查原因并设定正确的参数。
问题:如何处理速度控制单元设定错误？,答案:处理速度控制单元设定错误需要对照速度控制单元说明或根据机床厂提供的设定单检查设定并正确设定速度控制单元。
问题:如何处理振动周期与进给速度成正比的故障？,答案:处理振动周期与进给速度成正比的故障需要检查机床、检测器、电动机不良、插补精度差或检测增益设定太高，若插补精度差，振动周期可能为位置检测器信号周期的 1 或 2 倍；若为连续振动，可能是检测增益设定太高。
问题:检查与振动周期同步的部分时发现不良部分怎么办？,答案:更换或维修不良部分，并调整或检测增益。
问题:机床和速度单元的匹配不良时应采取什么措施？,答案:将S9、S11短接，检查振动是否减轻。如果未减轻，则需要改变设定、更换或重新调整伺服单元。
问题:机床和速度单元匹配不良导致的振动周期范围是多少？,答案:振动周期范围从几十赫兹至几百赫兹。
问题:如何判断速度控制单元控制板不良？,答案:检查速度控制单元每部分波形或更换控制单元控制板。
问题:发现定位精度和加工精度差时应如何处理？,答案:可以分为定位超调、单脉冲的进给精度差、定位点精度不好、圆弧插补加工的圆度差等情况，其故障的原因、检查和处理方法见表5-4。
问题:什么是超调？如何检查和解决超调问题？,答案:超调是指电动机在加/减速过程中出现的过度响应。可以通过检查电动机起、制动电流是否已经饱和以及延长加/减速时间设定来解决。
问题:单脉冲精度差可能原因有哪些？如何检查和解决？,答案:单脉冲精度差可能由于机械传动系统存在爬行或松动、伺服系统的增益不足等原因引起。可以通过检查定位时位置跟随误差、调整位置环、速度环增益等方式解决。
问题:定位精度不良可能原因有哪些？如何检查和解决？,答案:定位精度不良可能由于机械传动系统存在爬行或松动、位置控制单元不良、位置检测器件编码器、光栅不良、速度控制单元控制板不良等原因引起。可以通过检查定位时位置跟随误差、更换位置控制单元板或位置检测器件、维修或更换速度控制单元控制板等方式解决。
问题:圆弧插补加工的圆度差可能原因有哪些？如何检查和解决？,答案:圆弧插补加工的圆度差可能由于机床反向间隙大、定位精度差、位置环增益设定不良等原因引起。可以通过测量不圆度、检查轴向上是否变形、45°方向上是否成椭圆、调整控制单元的 RV4等方式解决。
问题:在同样的进给速度下，位置跟随误差的差值应控制在多少以内？,答案:调整位置环增益以消除各轴间的增益差。
问题:在项目3调整后，如果椭圆出现在哪个方向上，需要调整检测增益？,答案:在45°方向上成椭圆时，需要调整检测增益。
问题:如果感应同步器或旋转变压器的接口权调整不良，应如何处理？,答案:检查接口板的调整并重新调整接口板。
问题:当丝杠间隙或传动系统间隙导致问题时，应如何解决？,答案:测量、重新调整间隙或改变间隙补偿值。
问题:当圆弧插补出现45°方向上的椭圆时，可以通过调整什么进行调整？,答案:可以通过调整伺服进给轴的位置增益进行调整。
问题:位置增益的计算公式是什么？,答案:坐标轴的位置增益由下式计算：K = 16.6V / ess，其中V为进给速度mm/min，ess为位置跟随误差O.001mm，Kv为位置增益1/S。
问题:什么是位置跟随误差，如何检查它？,答案:位置跟随误差可以通过数控系统的诊断参数检查，诊断参数号在不同的系统上有不同的定义，在 FANUC OC 上为 DGN8OO ~ 8O4；对于其余系统，详见本书第 2 章第 2 . 3 . 3 节。
问题:如何调整位置跟随误差？,答案:调整速度控制单元上的电位器 RV4O F / V 转换器电压补偿，可以改变同一进给速度下的位置跟随误差。
问题:如何设置位置跟随误差的范围？,答案:调整 RV4，使 DGN8OO ~ 8O4 的值在上式计算所得的理论值的 + 1O% 以内，且参与圆弧插补的两轴的位置跟随误差的差值必须控制在 1% 以内。
问题:FANUC PM 速度控制单元的控制板上有哪些指示灯？,答案:FANUC PM 速度控制单元的控制板上，右下部有 7 个报警指示灯，它们分别是 BRK、HVAVAL、HCAL、OVC、LVAL、TGLS 以及 DCAL；在它们的下方还有 PRDY位置控制已准备好信号和 VRDY速度控制单元已准备好信号2 个状态指示灯。
问题:PRDY 和 VRDY 灯在电源接通后应该怎样亮起？,答案:在正常的情况下，一旦电源接通，首先 PRDY 灯亮，然后是 VRDY 灯亮。
问题:BRK 报警代表什么？,答案:BRK 为主回路熔断器跳闸指示，当指示灯亮时代表速度控制单元的主回路熔断器 NFB1、NFB2 跳闸。
问题:BRK 报警时的故障原因有哪些？,答案:BRK 报警时的故障原因主要有以下几种：主回路受到瞬时电压冲击或干扰；速度控制单元主回路的三相整流桥 D 的整流二极管有损坏。
问题:如何检查主回路的三相整流桥 D 是否损坏？,答案:可以参照图 5 – 12 主回路原理图，用万用表检测。
问题:什么是速度控制单元交流主回路的浪涌吸收器 ZNR？,答案:浪涌吸收器 ZNR 用于吸收交流主回路中的浪涌。
问题:如何检测速度控制单元交流主回路的浪涌吸收器 ZNR 是否有短路现象？,答案:可以参照图 5 – 12 主回路原理图，用万用表检测。
