questions,answers
什么是PWM驱动装置，它是如何工作的？,PWM驱动装置是利用大功率品体管的开关特性来调制固定电压的直流电源，按一个固定的频率来接通和断开，并根据需要改变一个周期内“接通”与“断开”时间的长短，通过改变直流伺服电机电枢上电压的“占空比”来改变平均电压的大小，从而控制电机的转速。
PWM控制的示意图是什么样的，如何改变电机转速？,PWM控制的示意图如图3—14（a）所示，可控开关S周期性地开关，开关周期为T，接通时间是t，则断开时间为T—r。当S接通时，供电电源通过开关S施加到电机两端，电源向电机提供能量，电机储能；当开关S断开时，中断了供电电源向电机提供能量，但在开关S接通期间电枢电感所储存的能量此时通过续流二极管的电压U，使电机电流继续流通。改变脉冲占空比即可调节电机转速，但必须有将控制转速的指令转换为脉冲宽度或开关周期的电路或装置来实现。
什么是直流伺服电机的脉冲调宽调速系统？它有什么特点？,直流伺服电机的脉冲调宽调速系统是一个双闭环的脉宽调速系统，由晶体管脉宽调制放大器PWM、速度控制回路和电流控制回路组成。其特点包括开关率高、纹波系数低、频带较宽和可在高峰值电流下工作。
交流伺服电机及其调速与直流伺服电机相比有何优势？,交流伺服电机没有电刷和换向器，因此不易磨损，维护成本较低。此外，交流伺服电机的调速性能也较好。
什么是交流电机的优势？,交流电机，特别是笼型感应电机，相比直流电机具有以下优势：没有换向器产生的火花，不会限制电机的最高速度，应用环境不受限制，结构简单，制造容易，所用钢铁材料消耗少，制造成本低，转子惯量小，动态响应更好。
在同样体积下，交流电机的输出功率比直流电机高多少？,在同样体积下，交流电机的输出功率可比直流电机提高10％～70％。
交流电机的容量可以达到多大？,交流电机的容量可比直流电机的大，达到更高的电压和转速。
现代数控铣床倾向于采用哪种伺服驱动？,现代数控铣床都倾向于采用交流伺服驱动。
交流伺服系统中可以使用哪些电机？,交流伺服系统中可以用交流同步电机也可以用交流感应电机。
交流感应电机相比直流伺服电机有哪些优势和缺点？,交流感应电机结构简单，与同容量的直流伺服电机相比，质量轻、价格便宜。它的缺点是不能经济地实现范围较大的平滑调速。
交流同步电机与电源频率之间存在什么关系？,交流同步电机的转速与所用电源的频率之间存在一种严格的关系，即在电源电压和频率固定不变时，它的转速是稳定不变的。
变频电源供电给同步电机时可以实现什么？,由变频电源供电给同步电机时，便可方便地获得与频率成正比的可变速度，并可得到非常硬的机械特性及较宽的调速范围。
同步电机分为哪两大类？,同步电机分为电磁式和非电磁式两大类。
在非电磁式同步电机中有哪些类型？,在非电磁式同步电机中，有磁滞式、永磁式和反应式等多种。
在数控铣床的进给驱动系统中，多数采用哪种同步电机？,在数控铣床的进给驱动系统中，多数采用永磁式交流同步电机。
异步型交流伺服电机指的是哪种电机？,①异步型交流伺服电机指的是交流感应电机。]
什么是异步型交流伺服电机，用什么表示？,异步型交流伺服电机是指具有笼型转子的异步电机，用于经济地实现范围较窄的平滑调速。它简称为异步型交流伺服电机，用IM表示。
同步型交流伺服电机有哪些分类，它们之间的区别是什么？,同步型交流伺服电机按转子结构分为电磁式和非电磁式两大类。非电磁式又分为磁滞式、永磁式和反应式多种。其中，永磁式同步电机在数控机床中应用较多。永磁式同步电机的优点是结构简单、运行可靠、效率较高，缺点是体积大、启动特性欠佳。与电磁式相比，永磁式同步电机采用高剩磁感应、高矫顽力的稀土类磁铁后，可比直流电机外形尺寸约小1/2，质量减轻60%，转子惯量减到直流电机的1/5。
什么是水磁式交流伺服电机？,水磁式交流伺服电机是同步型交流伺服电机的简称，由水磁式同步电机、转子位置传感器、速度传感器等组成。
水磁式交流伺服电机的组成部分有哪些？,水磁式交流伺服电机由定子、转子和检测元件（转子位置传感器和测速发电机）组成。
水磁式交流伺服电机的工作原理是什么？,当定子三相绕组通上交流电源后，产生一个旋转磁场，该旋转磁场与转子的水磁磁极互相吸引，并带着转子一起旋转。转子速度由电源频率和磁极对数决定。
什么是交流伺服电机的选用原则？,交流伺服电机的选用原则与直流伺服电机类似。
数控铣床进给系统需要满足哪些要求？,数控铣床进给系统必须保证由数控装置发出的控制指令转换成速度符合要求的相应角位移或直线位移，带动运动部件运动，根据工件加工的需要，在机床上各运动坐标的数字控制可以是相互独立的，也可以是联动的。总之，数控机床对进给系统的要求集中在精度、稳定性和快速响应三个方面。
为什么开环数控进给系统需要高传动刚度？,开环数控进给系统需要高传动刚度，因为它们需要将计算机控制指令忠实可靠地转换成要求的机械位移。传动刚度决定了转换精度，从而决定了加工的精度。
传动刚度高对闭环数控进给系统有什么好处？,传动刚度高对闭环数控进给系统的好处在于减小进给运动的超调和振荡，有助于改善系统的动态品质。
提高传动元件的刚度可以带来什么好处？,提高传动元件的刚度可以减少传动元件的变形，从而减少指令脉冲的丢失或传动系统的不稳定情况，有助于提高加工精度和质量。
为什么需要消除传动元件之间的间隙？,需要消除传动元件之间的间隙，因为间隙会导致运动反向时指令脉冲的丢失或系统运动不稳定。虽然稳定的系统误差可以通过输入补偿脉冲的方法进行补偿，但因刚度不足和反向间隙造成的误差具有很大的随机性，完全精确补偿是不可能的。
缩短进给传动运动链的长度有什么好处？,缩短进给传动运动链的长度有助于提高数控铣床的传动刚度。
什么方案已经实现了驱动电机不通过减速环节直接连接丝杠带动运动部件进行运动？,直接驱动取消了包括丝杠在内的所有机械传动元件，实现了数控铣床的“零传动”。
直线伺服驱动电机的性能如何，它为数控铣床带来了什么可能？,随着直线伺服驱动电机性能的不断提高，由电机直接带动工作台运动已成为可能。
什么方法可以消除滚动摩擦传动副的间隙和提高其传动刚度？,预加载荷可以消除滚动摩擦传动副的间隙和提高其传动刚度，也可以提高传动元件的刚度。如丝杠可采用两端轴向固定和预拉伸的方法来提高其传动刚度。
数控铣床进给系统多采用哪种类型的摩擦传动副？,数控铣床进给系统多采用刚度高、摩擦因数小且稳定的滚动摩擦副，如滚珠丝杠螺母副、直线滚动导轨等。
什么是最佳惯量匹配的目的？,最佳惯量匹配目的是为保证伺服驱动电机的工作性能和满足传动系统对控制指令的快速响应的要求。
现代数控机床进给系统的精度如何？从什么精度提高到了什么精度？,随着控制系统分辨率的提高，普通精度级数控机床的定位精度已从±0.012mm/300mm提高到±0.005mm/300mm，精密级的定位精度已从±0.005mm/全行程提高到±0.0015mm/全行程。
什么因素导致数控铣床进给传动系统的快速响应能力提高？,数控铣床进给传动系统的快速响应能力提高是由于提高传动精度和刚度、消除间隙及在惯量匹配等方面的努力。
目前数控铣床的进给速度和快速进给速度能达到多少？,目前数控铣床的进给速度已能达到24m／min（分辨率0.1μm），快速进给速度已能达到100m／min（分辨率0.1μm）。
案例中的数控铣床工作台的最大纵向进给力、质量、行程、进给速度和快速进给速度分别是多少？,案例中的数控铣床工作台的最大纵向进给力为F1—5000N，工作台质量为300kg，工件与夹具的最大质量为500kg，工作台纵向行程为750mm，进给速度为1～400mm／min，快速进给速度为2max＝15m／min。
案例中的数控铣床工作台的定位精度和重复定位精度要求是什么？,案例中的数控铣床工作台的定位精度要求为±0.012／300mm，重复定位精度为±0.006mm。
案例中的数控铣床工作台的纵向进给系统需要设计哪些方面？,案例中的数控铣床工作台的纵向进给系统需要设计传动系统、选择滚珠丝杠及其支承组合方式、选择伺服电机及反馈装置、选择伺服系统的增益，并进行精度验算。
什么是增量式测量方式？,增量式测量方式只测量位移增量，移动一个测量单位即能发出一个测量信号。其优点是检测装置比较简单，能做到高精度，任何一个对中点均可作为测量起点，其缺点是一旦计数有误，此后结果全错、发生故障时（如断电、断刀等），事故排除后，再也找不到正确位置。
什么是绝对式测量方式？,绝对式测量方式被测量的任一点都以一个固定的零点作基准，每一被测点都有一个相应的测量值，这样就避免了增量式检测方式的缺陷，但其结构较为复杂。
什么是直接测量？,直接测量对机床的直线位移采用直线型检测装置检测，称为直接测量，直接测量精度主要取决于测量元件的精度，不受机床传动装置的直接影响，但检测装置要与行程等长，这对大型数控机床来说，是一个很大的限制。
什么是间接测量？,间接测量对机床直线位移采用回转型检测元件测量，称为间接测量，间接测量精度取决于检测装置和机床传动链两者的精度，但间接测量无长度限制。
脉冲编码器的分类有哪些？,脉冲编码器分光电式、接触式和电磁感应式三种。
光电式脉冲编码器与霍耳效应构成的电磁感应或脉冲发生器相比有什么优点？,光电式脉冲编码器的精度和可靠性优于霍耳效应构成的电磁感应或脉冲发生器。
数控铣床上只使用哪种类型的脉冲编码器？,数控铣床上只使用光电式脉冲编码器。
光电脉冲编码器按每转发出的脉冲数的多少来分，有哪些型号？,光电脉冲编码器按每转发出的脉冲数的多少来分，有多种型号。
数控铣床最常用的光电脉冲编码器有哪些型号？,数控铣床最常用的光电脉冲编码器的型号根据机床滚珠丝杠螺距来选用相应的脉冲编码器。
高精度脉冲编码器如何制作？,高精度脉冲编码器的制作工艺是在一块具有一定直径的玻璃圆盘上，用真空镀膜的方法镀上一层不透光的金属薄膜，再涂上一层均匀的感光材料，然后用精密照相腐蚀工艺，制成沿圆周等距的透光和不透光部分相间的辐射状线纹。
光电脉冲编码器的结构示意图是怎样的？,光电脉冲编码器的结构示意图如图4—2所示。
什么是脉冲编码器，它与伺服电机如何连接？,脉冲编码器是一种检测电机旋转的装置，通过十字连接头与伺服电机连接，法兰盘固定在电机端面上，罩上防护罩，构成完整的驱动部件。
脉冲编码器的工作原理是什么？,光线透过圆光栅和指示光栅的线纹，在光电元件上形成明暗交替变化的条纹，产生两组近似于正弦波的电流信号A与B。两者的相位相差90°，经放大、整形电路变成方波，若A相超前于B相，对应电机作正向旋转；若B相超前于A相，对应电机作反向旋转。
什么是Z相脉冲，它的作用是什么？,Z相是一转脉冲，也称为零位脉冲，它是用来产生机床的基准点的，通常，数控铣床的机械参考点与各轴的脉冲编码器发出Z相脉冲是一致的。
如何处理脉冲编码器的输出波形？,从脉冲编码器输出的A和A，B和B四个方波被引入位置控制回路，经辨向后，变成代表位移的测量脉冲。经频率／电压变换器变成正比于频率的电压，作为速度反馈信号，供给速度控制单元进行速度调节。
光电脉冲编码器的信号处理线路图中施密特触发器的作用是什么？,施密特触发器作为放大整形用，将相差90°的两组正弦波电信号A与B，放大整形为方波。若A相超前B相90°，则输出正转脉冲列G；若A相落后B相90°，则输出反转脉冲列F。
什么是脉冲编码器？脉冲编码器的主要技术性能有哪些？,脉冲编码器是一种位置检测装置，主要技术性能包括电源、输出信号、最高转速、温度范围、轴向审动、转动惯量、质量和阻尼转矩。
如何使用光电编码器进行直线距离测量？,在进行直线距离测量时，可将光电编码器装到伺服电机轴上，因伺服电机轴与滚珠丝杠相连，所以当伺服电机转动时，由滚珠丝杠带动工作台或刀具移动。这时光电编码器的转角对应直线移动部件的移动量，因此，可根据滚珠丝杠的导程来计算移动部件的位移量。
什么是光栅位置检测装置？,光栅位置检测装置是一种测量精度较高的位置检测装置，常用于数控铣床上。光栅分为物理光栅和计量光栅，物理光栅刻线细而密，常用于光谱分析和光波波长的测定，计量光栅刻线较粗，但栅距较小，主要用在数字检测系统。
光栅传感器的类型有哪些？,光栅传感器按运动方式分为长光栅和圆光栅，长光栅用来测量直线位移，圆光栅用来测量角度位移。根据光线在光栅中的运动路径分为透射光栅和反射光栅。
增量式光栅传感器和绝对值式光栅传感器的区别是什么？,一般光栅传感器都是做成增量式的，也可以做成绝对值式。增量式光栅传感器输出的是相对位移信号，需要通过计数器累计才能得到当前位置信息；而绝对值式光栅传感器输出的是绝对位置信号，可以直接读取当前位置信息。
目前高精度数控铣床的伺服系统中使用哪种类型的传感器，其精度如何？,目前光栅传感器被应用在高精度数控铣床的伺服系统中，其精度仅次于激光式测量。
数控铣床上常用的精密检测装置是什么？,数控铣床上经常使用计量光栅这种精密的检测装置。
光栅检测装置由哪两部分组成？,长光栅检测装置（直线光栅传感器）由标尺光栅和光栅读数头两部分组成。
标尺光栅和光栅读数头如何安装？,标尺光栅一般固定在机床活动部件上（如工作台上），光栅读数头装在机床固定部件上。
光栅尺由什么组成？,标尺光栅和指示光栅通称为光栅尺，它们是在真空镀膜的玻璃片或长条形的金属镜面上光刻出均匀密集的线纹。
光栅的重要参数有哪些？,栅距和栅距角是光栅的重要参数。
光栅尺的线纹密度是多少？,对于长光栅，金属反射光栅的线纹密度为每毫米有25～50个条纹，玻璃透射光栅为每毫米100～250个条纹。
圆光栅一周内刻有多少条线纹？,一周内刻有10800条线纹。
光栅读数头的名称是什么？,光栅读数头又称为光电转换器。
光栅读数头的功能是什么？,光栅读数头把光栅莫尔条纹变为电信号。
什么是垂直入射的读数头，它由哪些部分组成？,垂直入射的读数头是由光源、透镜、指示光栅、光敏元件和驱动线路组成。
光栅读数头可以分为哪些类型？,光栅读数头可以分为分光读数头、反射读数头和镜像读数头等。
什么是莫尔条纹，它是如何形成的？,莫尔条纹是在光源的照射下，位于几乎垂直栅纹上，指示光栅上的线纹和标尺光栅上的线纹之间形成的小角度θ，形成明暗相间的条纹。这种条纹称为莫尔条纹。
莫尔条纹有哪些特征？,莫尔条纹的变化规律是两片光栅相对移过一个栅距，莫尔条纹移过一个条纹间距。由于光的衍射与干涉作用，莫尔条纹的变化规律近似正（余）弦函数，变化周期数与光栅相对移过的栅距数同步。莫尔条纹还有放大作用。
什么是莫尔条纹，它是如何形成的？,莫尔条纹是由若干光栅条纹共用形成，例如，每毫米100线的光栅，10mm宽的莫尔条纹就由1000条线纹组成。这样栅距之间的相邻误差就被平均化了，消除了由于栅距不均匀、断裂等造成的误差。
光栅检测装置的位移—数字变换电路是如何工作的？,光栅检测装置的位移—数字变换电路通过接收莫尔条纹信号并将其转换为正弦波电信号。相邻两块电池产生的正弦波电信号相位相差90°，而a、c及b、d间的相位相差180°。将这些信号送入差动放大器，可获得两组相位相差90°的放大信号。再经变换电路处理后可得到正向脉冲和反向脉冲，由可逆计数器接收。用可逆计数器进行计数，就可测量光栅的实际位移。
磁栅位置检测装置是如何工作的？,磁栅位置检测装置通过用电磁方法计算磁波数目进行位置检测，可用作直线和角位移的测量。磁栅具有复制简单、安装方便等特点，广泛应用在数控铣床、精密机床和各种测量机上。
磁栅检测装置由哪些部分组成？,磁栅检测装置由磁性标尺、拾磁磁头和检测电路三部分组成。磁性标尺上记录有一定节距的磁化信号，拾磁磁头用于读取磁性标尺上的磁化信号并转换成电信号，检测电路则将磁头相对于磁尺的位置送给伺服控制系统或数字显示装置。
什么是磁性标尺，它由哪些部分组成？,磁性标尺常采用不导磁材料做基体，在上面镀上一层10～30μm厚的高磁性材料，形成均匀的磁膜，再用录磁磁头在磁尺上记录节距相等的周期性变化的磁信号，用于作为测量基准。磁性标尺的节距通常为0.05μm、0.1μm、0.2μm等，最后磁尺表面涂上保护层。
磁性标尺有哪些种类，分别用于什么场合？,磁性标尺按形状可分为用于检测直线位移的平面实体型磁尺、带状磁尺、同轴型线状磁尺、用于检测角位移的回转型磁尺等。实体型磁尺主要用于精度要求较高的场合，带状磁尺主要应用在量程较大，安装面不易安排的场合，同轴型磁尺抗干扰能力强，主要用于小型或结构紧凑的测量装置中。
什么是拾磁磁头，它的作用是什么？,拾磁磁头是进行磁电转换的器件，它将磁性标尺上的磁信号检测出来，并转换成电信号。磁栅的拾磁磁头与一般录音机上使用的单间胞速度响应式磁头不同，它不仅能在磁头与磁性标尺之间有一定相对速度时拾取信号，而且也能在它们相对静止时拾取信号。
磁通响应型磁头的结构是怎样的？,磁通响应型磁头的结构如图4—12所示。
什么是磁通响应型磁头，与速度响应型磁头有何不同？,磁通响应型磁头是一种用于低速运动和静止时进行位置检测的磁头。与速度响应型磁头不同，它带有一个可饱和铁心的二次谐波调制器，能够实现与磁头相对于磁性标尺的相对速度无关的位置检测。
磁通响应型磁头的结构是怎样的？,磁通响应型磁头由软磁性材料制成的铁心和两个绕组组成：一个励磁绕组和一个输出绕组。励磁绕组通过高频励磁电流产生磁通，与磁性标尺作用于磁头的直流磁通相叠加成Φ。
如何通过磁通响应型磁头计算位移量？,通过计算输出信号幅值的变化次数，并以写入磁性标尺的磁信号的节距为单位，可以计算出位移量。例如，当磁性标尺写入磁信号的节距为0.04mm，将其细分为四等份时，磁尺的分辨率可达0.01mm。
磁栅的工作原理是什么？,磁栅作为检测元件，根据对拾磁磁头上拾磁绕组中输出电压信号的处理方式不同，可做成鉴相工作方式和鉴幅工作方式。不论采用哪种工作方式，都必须设置两个或两组间距相差（m±1/4）x的拾磁磁头。在鉴幅工作方式时，这种设置能够辨别磁头移动的方向，同时提高分辨率；在鉴相工作方式时，这种设置能够实现鉴相检测。]
什么是鉴相工作方式？,鉴相工作方式是通过对两组磁头A和B的励磁绕组通以同频率、同幅值但相位相差90°的励磁电流，通过输出线圈感应电压的相位变化来测量磁尺的位移量。输出电压随磁头相对于磁尺的位移量x的变化而变化。
鉴相工作方式中输出电压的公式是什么？,鉴相工作方式中输出电压的公式是U=Uasin(2mx/λ+cl)。
双磁头的作用是什么？,双磁头是为了识别磁尺的运动方向而设置的，两磁头按（m±1/4）λ配置，m为正整数，λ/4节距相当于π/4电气角。
什么是鉴幅工作方式？,鉴幅工作方式是通过对两组磁头的励磁绕组通以同频率、同幅值、同相位的励磁电流，通过检波器将其中的高频载波滤掉，得到相位相差π/2的两个交流电压信号，通过放大、整形，转换成方波信号，此方波信号与被测位移有确定的对应关系，因而可测出位移x。
鉴幅工作方式中输出电压的公式是什么？,鉴幅工作方式中输出电压的公式是U=Uosin(2mx/A) 和 U-Uncos(2mx/λ)。
多间隙磁通响应式磁头如何提高灵敏度和均化节距误差？,通过将多个磁通响应型磁头以一定方式串联起来，做成一体，成为多间隙磁通响应式磁头。这样可以提高灵敏度，均化节距误差，并使输出幅值均匀。
当磁头间距与磁栅栅距一致时，输出信号有什么特点？,当磁头间距与磁栅栅距一致时，输出信号最大且具有良好的选频特性。
旋转变压器是一种什么元件，常用于什么场合？,旋转变压器是一种常用的转角检测元件，常被应用于半闭环控制的数控铣床上。它具有结构简单、工作可靠、对环境要求低、信号输出幅度大、抗干扰能力强的特点。
旋转变压器有哪些类型，它们的结构有什么区别？,旋转变压器可分为有刷式和无刷式。有刷式旋转变压器的结构与绕线式异步电动机相似，定子和转子铁心由高导磁的铁镍软磁合金或硅铜薄板冲成的带槽芯片叠成，槽中嵌有线圈。定子线圈为变压器的原边，转子线圈为变压器的副边。无刷式旋转变压器没有电刷，励磁电压直接接到定子线圈，转子线圈通过分解器与定子线圈相连。
励磁电压频率较高时，旋转变压器的尺寸和转动惯量有什么变化？,如果励磁电压的频率较高，旋转变压器的尺寸可以显著减小，特别是转子的转动惯量可以做得很小。这适用于加、减速比较大，或与高精度的齿轮、齿条组合使用的场合。]
什么是旋转变压器，它有哪些类型？,旋转变压器是一种将旋转运动转换为电信号的传感器，通常用于检测机械轴的转角或角速度。旋转变压器分为有刷式和无刷式两种类型。
无刷式旋转变压器由哪些部分组成？,无刷式旋转变压器由分解器和变压器两部分组成。分解器的转子绕组输出信号接到变压器的原边，而输出从变压器副边引出。
旋转变压器的工作原理是什么？,旋转变压器的工作原理是通过电磁耦合，当励磁电压加到定子绕组上时，转子绕组产生感应电动势。当转子绕组的磁轴与定子绕组的磁轴相互垂直时，转子绕组的感应电动势为零；当转子绕组的磁轴自垂直位置转过90°时，转子绕组的感应电压为最大。
什么是旋转变压器，它的作用是什么？,旋转变压器是一种将旋转运动转换为电信号的传感器，通常用于测量旋转角度、速度和位置。
旋转变压器的工作原理是什么？,旋转变压器的工作原理是利用旋转磁通与定子绕组和转子绕组之间的相对运动，产生感应电动势。通过测量感应电动势的相位差，可以确定转子相对于定子的角度。
正弦、余弦旋转变压器的结构特点是什么？,正弦、余弦旋转变压器的定子绕组和转子绕组中各有互相垂直的两个绕组，当励磁绕组用两个相位相差90°的电压供电时，可以输出正弦和余弦信号。
正弦、余弦旋转变压器如何输出电压？,当励磁信号U1和U2施加于定子绕组时，旋转变压器转子绕组便可输出感应信号U3。正弦、余弦旋转变压器的输出电压为U3=nUmcos(aat-θ1)，其中θ1表示励磁信号之间的相位差。
旋转变压器如何用于测量旋转角度？,通过对旋转变压器输出的电压信号进行测量，可以确定转子相对于定子的角度。励磁信号和感应信号之间的相位差可以表示为相应的电压信号，通过鉴相器线路检测出来，从而得到转子转过的角度θ1。
什么是感应同步器，它的工作原理是什么？,感应同步器是一种高精度的检测装置，可理解为多极旋转变压器的展开形式。它利用两个平面形印刷绕组，其间保持均匀的气隙，相对平行移动时其互感随位置的变化而变化。感应同步器的定尺和滑尺两部分（或定子和转子）绕组相当于旋转变压器的初级和次级线圈，它们都是利用交变磁场和互感原理工作的。
感应同步器有哪些类型，分别用于测量什么？,感应同步器分为直线感应同步器和圆形感应同步器两种。直线感应同步器用于测量直线位移，而圆形感应同步器用于检测角位移。
感应同步器有哪些优点？,作为检测元件，感应同步器具有以下优点：精度高、分辨率高、动态响应好、结构简单、工艺性好、环境适应性强、可靠性高等。
什么是感应同步器？,感应同步器是一种测量位移的装置，可以直接对机床位移进行测量。
感应同步器的测量精度高吗？,感应同步器的检测精度高，可直接对机床位移进行测量，不经过任何机械传动装置，而且测量结果只受本身精度的限制。
感应同步器的工作可靠性和抗干扰能力如何？,感应同步器工作可靠、抗干扰能力强，不怕油污和灰尘的污染，且受外界电磁场的影响比较小。
感应同步器的维护简单吗？,感应同步器的维护比较简单，定尺和滑尺之间无接触磨损，在机床上安装比较简单。
感应同步器可以用于大长度测量吗？,感应同步器可以用于大长度测量，直线同步感应器的每根定尺长为250mm，进行大长度测量时，可用多根定尺接长，而且移动速度基本上不影响测量。
感应同步器的结构和种类有哪些？,直线感应同步器由定尺和滑尺两部分组成，绕组结构包括正弦绕组和余弦绕组。
直线感应同步器的定尺和滑尺基板通常使用什么材料制成？,答案：直线感应同步器的定尺和滑尺基板通常采用与机床床身材料的线胀系数相近的钢板。
如何制作直线感应同步器的印刷绕组？,答案：用绝缘黏结剂把铜箔粘在钢板上，然后使用精密的照相腐蚀工艺制成印刷绕组。
直线感应同步器的表面涂有哪一层？,答案：直线感应同步器的表面涂有一层保护层。
滑尺表面有时会贴一层什么？,答案：滑尺表面有时会贴一层带绝缘的铝箔，以防止静电感应。
直线感应同步器有哪些类型？,答案：直线感应同步器除标准型外，还有窄型和带状两种。
圆型感应同步器的直径有哪些类型？,答案：圆型感应同步器按直径大小可分为302mm，178mm、76mm和50mm4种类型。
圆型感应同步器的精度与其直径有何关系？,答案：在极数相同的条件下，圆型感应同步器的直径越大，精度越高。
如何检测滑尺相对定尺的位置？,答案：利用滑尺上具有在空间上相差1/4节距的正弦绕组和余弦绕组，当滑尺励磁绕组与定尺感应绕组间发生相对位移时，由于电磁耦合的作用，感应绕组中的感应电压随位移的变化而呈周期性地变化，从而可以检测滑尺相对定尺的位置。
当滑尺绕组与定尺绕组之一相重合时，定尺输出的感应电压会发生什么变化？,答案：当滑尺绕组与定尺绕组之一相重合时，定尺输出的感应电压最大。
当滑尺绕组平行移动时，感应电压会发生什么变化？,答案：当滑尺绕组相对于定尺绕组平行移动时，感应电压逐渐减小。
当滑尺绕组移动到1/4节距的位置时，定尺线圈输出电压会发生什么变化？,答案：当滑尺绕组移动到1/4节距的位置时，定尺线圈输出电压为零。
什么是感应同步器测量系统，它与旋转变压器有何相似之处？,感应同步器测量系统与旋转变压器一样，有鉴相测量系统和鉴幅测量系统两种。这两种系统用于测量感应同步器的信号。
感应同步器的鉴相测量系统如何工作？,在鉴相测量系统中，给感应同步器滑尺的两个正、余弦绕组分别供以频率和幅值相同、相位相差90°的励磁信号。当滑尺移动一定距离时，定尺绕组中的感应电动势可以通过检测定尺输出电压的相位来测量滑尺相对于定尺的位移。
如何实现感应同步器的鉴相检测系统？,感应同步器的鉴相检测系统包括数控系统、脉冲-相位变换器、鉴相器、放大器和伺服系统。工作过程中，数控系统发出指令脉冲，经脉冲-相位变换器变成相位信号输入鉴相器。同时，反馈实际位移量的反馈相位角也反馈到鉴相器进行比较。当两者相位一致时，表示实际位置和给定的指令位置一致；当两者相位不一致时，鉴相器输出相位差，并将它变成模拟电压，经放大后驱动伺服系统，使部件作相应的位移，直到相位的位置停止运动。
什么是鉴幅测量系统？,鉴幅测量系统是一种根据感应输出电压的幅值变化来检测位移的测量系统。
鉴幅工作方式是如何工作的？,鉴幅工作方式下，滑尺的两个正、余弦绕组分别供以频率和相位相同，幅值不同的正弦电压，并根据定尺上感应电压的幅值变化来测定滑尺和定尺之间的相对位移量。
如何给滑尺正、余弦绕组供电？,加在滑尺正、余弦绕组上励磁电压幅值的大小，应分别与要求工作台移动的x1（与位移相应的电角度为6）成正、余弦关系。
如何计算正弦绕组单独供电时的感应电压？,当滑尺移动时，定尺上的感应电压U。随滑尺移动距离x（相应的位移角θ）而变化。设滑尺正弦绕组与定尺绕组重合时x＝0（即θ—0），若滑尺从x＝0开始移动，则在定尺上的感应电压为U._=kUmsin?sinalcos0。
如何计算余弦绕组单独供电时的感应电压？,"若滑尺从x—0开始移动，则在定尺上的感应电压为Uc=Umcos01sinat U,=0。"
正、余弦同时供电时如何计算感应电压？,若正、余弦同时供电，根据叠加原理有U+inin(00)。
定尺上感应电压的幅值随什么变化？,由式（4—20）可知，定尺上感应电压的幅值随指令给定的位移x（の）与工作台实际位移量x（0）的差值的正弦规律变化。
什么系统以调幅方式转换感应同步器相对位移的调相作用？,鉴幅系统将感应同步器相对位移的调相作用转换为调幅方式。
鉴幅系统是如何构成的？,鉴幅系统构成一个闭合的环路，感应同步器就在环路之中。
鉴幅系统如何进行数字量化？,鉴幅系统利用逐次比较原理进行数字量化，即利用脉冲电压转换器（相当于D／A转换）将位移转换为脉冲数。
滑尺正弦和余弦两个绕组如何激励？,滑尺正弦和余弦两个绕组分别以同频、同相而幅值不同的电源激励。
定尺感应电动势U。的作用是什么？,定尺感应电动势U。经检波放大成直流信号控制伺服系统工作，使驱动元件带动工作台移动；同时输至相敏放大器，与来自相位补偿器的标准信号比较，控制工作台的运动方向。
鉴幅检测系统的另一种方式如何实现？,鉴幅检测系统通过鉴别定尺绕组输出误差信号的幅值进行检测。当误差电动势U超过预调整的门槛电平时，产生一个脉冲信号，并用此去修正误差信号U，使误差信号重新降低到门槛电平以下，从而将位移量转换成了数字量，实现了位移的测量和显示。
什么是门槛电平的整定，它是如何进行的？,门槛电平的整定是根据脉冲位移当量来进行的。例如，当脉冲位移当量为0.01mm/脉冲时，门槛值应整定在0.007mm的数值上，即位移7μm产生的误差信号经放大正好达到门槛电平。
什么是感应同步器，它的门槛脉冲对应什么？,感应同步器是一种位置检测装置，它的门槛脉冲对应于使数模变换器修改1.8°的sinθ、cosθ的励磁值。
数模变换器由哪些部分组成？,数模变换器由多抽头的计数变压器、开关线路和变换计数器组成。
什么是激光干涉仪，它如何进行位置检测？,激光干涉仪是一种利用光的干涉原理和多普勒效应来进行位置检测的测量装置。它由激光器发出的激光经分光镜分为反射光束和透射光束，反射光束由固定反射镜反射，透射光束由可动反射镜反射，反射回来的光在分光镜处汇合成相干光束，由此进行位置检测。
什么是激光干涉仪，它是如何检测位移量的？,激光干涉仪利用激光束产生明暗相间的干涉条纹，由光电转换元件接收并转换为电信号，经处理后由计数器计数，从而实现对位移量的检测。
双频激光测量原理是建立在什么基础上的？,双频激光测量原理是建立在多普勒效应基础上的。
多普勒效应是什么，它对光波有什么影响？,多普勒效应是一种很重要的波动现象，当光源以速度u远离观察者，观察者接受到的光源的频率f与光源静止时的频率f存在差值Δf，称为多普勒频差。对于光波来说，不论光源与观察者的相对速度如何，测得的光速都是一样的，即测得的光频率与波长虽有所改变，但两者的乘积即光速保持不变。
双频激光干涉仪由哪些部分组成？,双频激光干涉仪由激光器、检偏器、光学干涉部分、光电接收元件、计数器电路等组成。
什么是双频激光干涉仪？,双频激光干涉仪是一种测量设备，通过使用两种不同频率的激光束产生相干光束来测量可移动棱镜的移动距离。
